Serial,WindSpeed(m/s),Pressure(hpa),Temperature(°C),Humidity(%),Sunlight(Lux),Power(mW)
20240128070017,0,1027.39,14,88.37,203.17,0.06
20240128071017,0,1027.53,14.06,87.71,278.58,0.1
20240128072017,0,1027.68,14.1,86.5,324.09,0.12
20240128073017,0,1027.78,14.25,87.09,804.75,0.68
20240128074017,0,1027.94,14.38,85.38,589.42,0.33
20240128075017,0,1028.1,14.45,85.55,1073.58,1.08
20240128080017,0,1028.23,14.57,84.64,1115.17,1.14
20240128081017,0,1028.35,14.73,83.68,1250.58,1.45
20240128082017,0,1028.53,14.87,82.26,1203.17,1.48
20240128083017,0,1028.6,14.89,82.02,1694.33,2.47
20240128084017,0,1028.71,15.2,81.41,1898.75,3.08
20240128085017,0,1028.79,15.34,80.33,2285.58,4.46
20240128090017,0,1028.87,15.48,79.52,2693.34,6.24
20240128091017,0,1028.86,15.74,78.44,3092.58,7.84
20240128092017,0,1028.76,16.12,79,3448.58,11.22
20240128093017,0,1028.62,16.61,77.78,3814.92,12.31
20240128094017,0,1028.63,16.76,76.45,4032.33,14.09
20240128095017,0,1028.6,16.88,75.56,3913.92,13.06
20240128100017,0,1028.57,16.72,74.75,3396.17,9.5
20240128101017,0,1028.64,16.54,75.21,2918.75,6.87
20240128102017,0,1028.7,16.41,75.69,3146.33,7.9
20240128103017,0,1028.66,16.58,75.36,3940.33,12.8
20240128104017,0,1028.62,16.96,74.83,5138,19.1
20240128105017,0,1028.56,17.38,73.95,5456.67,23.41
20240128110017,0,1028.51,17.68,72.59,6342.84,28.26
20240128111017,0,1028.39,17.98,72.18,5853.58,25.53
20240128112017,0,1028.18,17.94,71.13,5696.33,22.94
20240128113017,0,1028.08,17.92,70.89,5418.08,19.49
20240128114017,0,1027.99,17.8,70.86,5906.75,22.25
20240128115017,0,1027.85,17.65,70.91,4626.42,13.27
20240128120017,0,1027.71,17.48,71.26,4593.42,12.65
20240128121017,0,1027.48,17.5,71.81,4481.58,12.02
20240128122017,0,1027.21,17.58,71.77,4419.5,11.37
20240128123017,0,1027.01,17.48,71.38,3968.58,8.68
20240128124017,0,1026.87,17.27,71.44,3676.83,7.74
20240128125017,0,1026.79,17.22,71.97,3814.17,7.78
20240128130017,0,1026.65,17.25,71.31,3447.92,6.77
20240128131017,0,1026.56,17.06,71.39,3082.83,4.97
20240128132017,0,1026.54,16.9,71.99,3087,4.88
20240128133017,0,1026.53,16.9,72.11,3240.67,5.51
20240128134017,0,1026.44,16.75,72.26,2720.17,3.64
20240128135017,0,1026.44,16.69,74.98,2718.42,3.64
20240128140017,0,1026.36,16.55,76.77,2893.08,4.14
20240128141017,0,1026.33,16.52,77.75,2867.58,4
20240128142017,0,1026.27,16.5,76.58,2863.84,3.9
20240128143017,0,1026.22,16.6,76.25,2894.17,4.06
20240128144017,0,1026.16,16.6,74.53,2545.67,3.13
20240128145017,0,1026.07,16.65,74.94,3039.08,4.42
20240128150017,0,1026.09,16.82,76.11,2789.75,3.81
20240128151017,0,1026.15,16.68,76.32,2263.58,2.49
20240128152017,0,1026.21,16.49,77.54,2239.66,2.39
20240128153017,0,1026.23,16.37,78.12,1897.5,1.73
20240128154017,0,1026.31,16.26,78.58,1743,1.43
20240128155017,0,1026.43,16.2,78.92,1741.17,1.43
20240128160017,0,1026.6,16.1,78.56,1448.83,1.01
20240128161017,0,1026.68,15.98,78.74,1506,1.04
20240128162017,0,1026.75,15.91,78.85,1240.08,0.75
20240128163017,0,1026.83,15.65,79.08,922.83,0.44
20240128164017,0,1027,15.42,80.09,586.67,0.21
20240128165017,0,1027.08,15.31,79.68,362.92,0.09
20240129070017,0,1026.59,14.7,91.51,623.58,0.19
20240129071017,0,1026.64,14.78,91.85,957.33,0.4
20240129072017,0,1026.71,14.93,92.66,1690.42,1.2
20240129073017,0,1026.83,15.28,92.82,2391.58,2.24
20240129074017,0,1026.88,15.64,91.82,2639.5,2.71
20240129075017,0,1026.94,15.91,90.45,2493.83,2.44
20240129080017,0,1027.03,16.13,89.44,3086.75,3.66
20240129081017,0,1027.15,16.37,88.34,3544.5,4.69
20240129082017,0,1027.21,16.74,87.67,4750.42,8.18
20240129083017,0,1027.19,17.38,86.1,6403.42,14.54
20240129084017,0,1027.18,18.12,83.89,7840.92,21.69
20240129085017,0,1027.21,19.1,81.87,10002.92,33.91
