Serial,WindSpeed(m/s),Pressure(hpa),Temperature(°C),Humidity(%),Sunlight(Lux),Power(mW)
20240313070003,0.32,1018.44,15.32,88.23,5423.83,7.22
20240313071003,0.5,1018.57,15.77,86.08,6293.75,10.1
20240313072003,0.37,1018.72,16.13,83.74,6276.25,10.54
20240313073003,0.34,1018.91,16.39,83.84,6883.17,12.64
20240313074003,0.43,1018.97,16.92,82.22,8166.58,17.22
20240313075003,0.8,1019.04,17.26,80.84,10546.08,28.08
20240313080003,0.54,1019.11,18.28,75.7,12604.58,39.26
20240313081003,0.69,1019.12,19,72.89,16047.58,59.15
20240313082003,0.82,1019.17,19.88,69.04,21588.08,99.48
20240313083003,0.57,1019.2,21.48,64.76,26881.83,142.94
20240313084003,0.64,1019.14,22.67,61.02,29511.33,166.18
20240313085003,0.8,1019.12,24.52,54.01,43856.75,354.43
20240313090003,0.59,1019.05,25.14,49.78,37236.35,285.15
20240313091003,1.05,1018.92,27.72,42.5,52302.05,571.14
20240313092003,0.39,1018.91,26.62,44.36,28736.58,187.32
20240313093003,0.13,1018.93,27.31,44.06,36789.09,284.38
20240313094003,0.41,1018.94,28.04,40.36,31691.33,224.8
20240313095003,0.62,1019.02,27.81,40.92,28733.83,193.54
20240313100003,0.89,1019.07,26.41,43.09,29041.67,191.8
20240313101003,0.93,1019.08,26.71,43.45,32267.5,231.36
20240313102003,1.2,1019.02,26.54,42.94,37233.83,288.15
20240313103003,0.81,1018.88,27.57,41.13,36915.91,288.3
20240313104003,0.77,1018.78,27.93,39.53,34515.08,245.71
20240313105003,0.9,1018.71,26.62,41.28,26265.17,148.55
20240313110003,0.84,1018.58,25.65,43.72,22906.42,115.06
20240313111003,1.08,1018.42,24.53,46.07,21646.92,98.56
20240313112003,0.78,1018.38,23.82,47.64,16728,59.84
20240313113003,1.47,1018.3,22.79,50.22,16849.17,61.27
20240313114003,1.94,1018.12,22.57,50.91,18913.33,77.31
20240313115003,1.33,1017.92,22.78,50.32,19884.67,85.5
20240313120003,2.04,1017.8,22.28,50.5,21145.17,95.86
20240313121003,2.52,1017.73,21.78,51.14,18207.67,69.02
20240313122003,1.9,1017.65,21.53,51.93,15094.75,45.93
20240313123003,1.39,1017.46,21.4,53.4,13113.33,34.54
20240313124003,1.75,1017.24,21.07,55.21,14865.08,48.97
20240313125003,0.96,1017.1,21.16,55.48,10428.42,24.89
20240313130003,1.08,1017.1,20.63,56.18,8084,14.08
20240313131003,0.85,1017.08,20.46,56.05,7159.67,11.53
20240313132003,0.96,1016.85,20.33,56.22,6476.33,9.98
20240313133003,0.17,1016.65,20.49,57.35,5515.67,6.91
20240313134003,0.37,1016.5,20.41,58.2,5601.92,6.79
20240313135003,0.3,1016.44,20.14,58.63,5077.08,5.44
20240313140003,0.13,1016.4,20.06,59.7,5312.75,6.08
20240313141003,0,1016.31,20.28,59.71,5648.83,7.07
20240313142003,0,1016.09,20.46,59.32,6113.5,8.97
20240313143003,0.76,1016.06,20.51,58.98,5913.75,8.15
20240313144003,0.89,1015.95,19.96,60.08,5813.17,7.9
20240313145003,0.99,1015.89,19.96,60.55,7321,12.17
20240313150003,1.57,1015.94,19.78,61.39,7840.25,13.68
20240313151003,1.06,1015.8,19.92,61.1,9169.58,19.43
20240313152003,1.16,1015.7,20.37,60.08,10120.83,23.74
20240313153003,1.46,1015.68,20.28,59.96,10153.75,24.61
20240313154003,1.58,1015.67,19.99,60.77,8557.92,18.11
20240313155003,1.16,1015.63,19.92,61.45,8953.42,19.96
20240313160003,0.77,1015.6,20.01,61.4,7476.33,13.56
20240313161003,1.02,1015.6,19.68,62.78,4880.25,6.1
20240313162003,0.63,1015.53,19.48,63.55,4484.08,5.78
20240313163003,0.72,1015.46,19.24,64.36,3194.83,2.9
20240313164003,0.55,1015.47,18.94,64.93,2051.92,1.31
20240313165003,1.2,1015.46,18.66,65.29,1495.5,0.67
20240314070003,0.8,1015.78,16.31,84.9,1193.25,0.43
20240314071003,0.66,1015.75,16.41,84.41,1513.5,0.62
20240314072003,0.7,1015.77,16.48,84.29,1883.33,0.82
20240314073003,0.81,1015.9,16.55,84.88,2139.17,1.01
20240314074003,0.96,1015.9,16.62,84.85,2328.5,1.23
20240314075003,0.68,1015.88,16.8,84.33,3121.75,2.18
20240314080003,1.01,1015.95,16.97,83.94,3951,3.36
20240314081003,1.59,1016,17.03,84.16,4610.25,4.83
20240314082003,1.71,1015.94,17.1,83.66,5832.42,8.24
20240314083003,1.34,1015.96,17.33,82.44,6295.17,9.22
20240314084003,1.05,1016.02,17.67,81,7214.92,11.71
20240314085003,1.24,1015.99,17.89,80.32,7543.92,13.4
20240314090003,1.01,1016.02,18.31,78.7,9427.33,19.52
20240314091003,1.61,1015.98,18.22,78.01,7659,13.39
20240314092003,1.07,1016.04,18.1,78.28,6975,10.59
20240314093003,1.3,1016.01,18.12,77.55,7704.25,12.67
20240314094003,1.06,1015.93,18.17,77.47,7773.25,13.58
20240314095003,1.36,1016.16,18.57,75.93,10926.42,28
20240314100003,1.62,1016.18,19.25,73.55,13607.17,37.87
20240314101003,1.53,1016.13,19.19,73.5,9984.17,20.33
20240314102003,0.85,1016.1,18.95,74.9,8498.92,16.5
20240314103003,1.13,1016.03,19.46,73.6,15532.67,52.94
20240314104003,1.2,1015.96,20.33,70.56,17653.67,68.93
20240314105003,1.25,1015.75,21.53,66.24,28277.92,172.67
20240314110003,1.4,1015.62,23.81,57.55,40543.69,340.53
20240314111003,1.49,1015.54,25.89,49.9,41226.49,343.7
20240314112003,0.56,1015.38,24.63,52.35,22367.5,107.97
20240314113003,0.81,1015.25,23.68,55.7,21587.75,101.67
20240314114003,0.81,1015.17,23.72,56.71,21785.75,103.46
20240314115003,0.7,1015.06,23.28,57.66,21019.16,94.31
20240314120003,0.38,1014.94,23.54,55.86,21148.67,99.89
20240314121003,0.53,1014.86,23.3,54.59,18499.25,74.46
20240314122003,0.36,1014.7,23.01,56.63,14736.42,46.67
20240314123003,0.37,1014.52,22.59,58.26,11803.33,31.75
20240314124003,0.02,1014.33,22.77,59.43,13079.08,38.27
20240314125003,0.11,1014.04,23.37,57.68,18127.75,69.72
20240314130003,0.65,1013.73,23.7,55.45,20020.5,86.76
20240314131003,0.21,1013.52,24.01,55.81,17364.58,71.69
20240314132003,0.71,1013.28,24.34,53.49,20490.92,103.12
20240314133003,0.53,1013.06,25.04,51.33,24872.25,147.97
20240314134003,0.91,1012.86,25.09,50.25,26580.67,181.29
20240314135003,0,1012.66,26.47,47.7,29747.83,232.84
20240314140003,0.63,1012.47,28.54,42.35,36505.49,409.18
20240314141003,0.24,1012.36,30.56,38.1,39829.99,474.99
20240314142003,0.55,1012.24,29.81,38.72,32615.25,297.49
20240314143003,0.81,1012.04,28.84,41.1,30584.92,255.26
20240314144003,0.24,1011.92,30.41,38.68,42119.07,747.48
20240314145003,0.7,1011.86,36.07,29.2,45261.3,1249.84
20240314150003,0.91,1011.76,32.9,33.17,29594.8,542.62
20240314151003,0.83,1011.66,31.44,36.58,27260.92,488.65
20240314152003,0.71,1011.71,30.59,38.31,28166.83,466.72
20240314153003,0.95,1011.65,32.71,33.94,34210.25,747.81
20240314154003,1.22,1011.66,31.94,35.21,24880.75,373.84
20240314155003,1.67,1011.66,30.26,39.01,20987.25,233.77
20240314160003,1.13,1011.75,27.06,46.14,11375.08,39.54
20240314161003,1.76,1011.81,24.45,53.3,9171.33,21.81
20240314162003,0.6,1011.95,23.68,56.85,8844.08,18.64
20240314163003,0.78,1012.03,23.22,58.42,7843.17,14.98
20240314164003,0.14,1012.11,22.99,59.77,6884.75,12.51
20240314165003,0.32,1012.15,22.77,60.83,6693,14.13
20240315070003,0.03,1015.49,17.03,88.67,3234.83,3
20240315071003,0.02,1015.68,17.39,87.24,3938.5,4.44
20240315072003,0.05,1015.74,17.81,86.01,5490,8.22
20240315073003,0.12,1015.79,18.38,83.44,7468.67,14.44
20240315074003,0.25,1015.88,19.13,80.54,9326.92,22.74
20240315075003,0.24,1015.92,19.66,77.76,9216.42,21.03
20240315080003,0.17,1015.98,19.92,77.76,7922.25,15.84
20240315081003,1,1016.03,20.21,76.02,10632,27.55
20240315082003,0.97,1016.01,20.48,74.59,13117.58,39.32
20240315083003,1.34,1016.03,21.07,70.71,14735.92,50.31
20240315084003,0.7,1016.04,22.06,68,17622.75,73.01
20240315085003,0.59,1015.97,22.97,65.28,21383.83,106.37
20240315090003,0.72,1015.97,23.9,61.39,24502.58,129.9
20240315091003,0.92,1015.92,23.68,61.64,25915.92,137.47
20240315092003,0.88,1015.96,24.12,61.82,27638,157.69
20240315093003,0.85,1015.84,25.38,58.43,32210.25,203.32
20240315094003,0.63,1015.88,26.52,55,41581.81,328.75
20240315095003,0.6,1015.8,29.79,46.65,72336.07,894.14
20240315100003,0.7,1015.79,32.36,39.36,58762.48,623.85
20240315101003,0.84,1015.66,32.09,38.44,72551.34,1000.37
20240315102003,0.92,1015.57,34.72,34.29,96484.82,1504.14
20240315103003,0.6,1015.42,39.83,26.49,117142.41,1838.74
20240315104003,0.67,1015.23,43.54,21.89,98620.4,1483.07
20240315105003,1,1015.08,38.23,27.85,58357.64,746.28
20240315110003,1.3,1014.89,35.77,31.05,71258.85,1109.37
20240315111003,1.23,1014.74,35.6,30.96,63374.52,885.33
20240315112003,0.53,1014.62,35.72,31.03,41625.57,403.89
20240315113003,0.77,1014.4,34.51,32.37,33841,286.86
20240315114003,0.45,1014.21,33.41,34.51,28778.33,206.2
20240315115003,1.03,1014.06,29.45,42.11,21152.17,115.85
20240315120003,0.85,1013.96,29.57,42.62,14275.83,54.1
20240315121003,0.91,1013.85,27.57,46.65,10701.5,29.9
20240315122003,0.84,1013.78,26.24,50.52,7951.33,14.91
20240315123003,0.98,1013.74,24.94,55.1,6374.58,9.24
20240315124003,1.29,1013.7,24.2,57.01,5580.83,6.95
20240315125003,0.2,1013.57,24.03,58.42,5316.17,6.09
20240315130003,0.95,1013.48,22.89,66.79,5385,6.48
20240315131003,0.43,1013.45,22.3,69.56,5922.08,8.04
20240315132003,0.31,1013.35,22.71,66.42,6542.75,9.33
20240315133003,0.54,1013.29,22.88,65.06,6757.83,10.14
20240315134003,0.21,1013.28,23.09,63.72,6568.92,9.92
20240315135003,0.1,1013.24,23.47,63.2,7213.17,11.97
20240315140003,0.37,1013.18,23.7,62.03,7666.58,13.74
20240315141003,0.36,1013.16,23.7,62.85,8149.92,16.26
20240315142003,0.57,1013.18,23.56,63.13,8500.08,17.13
20240315143003,0.79,1013.15,23.55,62.84,7778.58,14.27
20240315144003,0.52,1013.09,23.42,63.21,7137.08,12.45
20240315145003,1.43,1013.03,23.69,62.13,12022.33,34.19
