Serial,WindSpeed(m/s),Pressure(hpa),Temperature(°C),Humidity(%),Sunlight(Lux),Power(mW)
20240703070017,0,1015.48,47.21,42.58,26421.83,257.92
20240703071017,0,1015.36,48.69,40.48,30326.5,316.47
20240703072017,0,1015.27,49.64,38.48,34281.25,380.05
20240703073017,0,1015.2,49.94,37.49,37825.08,447.62
20240703074017,0,1015.22,50.75,36.65,41290.4,522.74
20240703075017,0,1015.04,51.85,35.27,45635.06,600.61
20240703080017,0,1014.95,53.02,34.09,50320.58,684.31
20240703081017,0,1014.79,54.15,33.07,54285.03,758.18
20240703082017,0,1014.79,54.81,32.46,57510.42,855.05
20240703083017,0,1014.8,55.34,32.02,62767.36,991.09
20240703084017,0,1014.7,56.58,31.55,67838.32,1106.84
20240703085017,0,1014.1,56.04,29.98,44391.14,537.45
20240703090017,0,1014.31,49.94,33.41,40631.64,454.04
20240703091017,0,1014.76,49.84,36.53,62583.9,1006.04
20240703092017,0,1014.38,50.48,34.41,47691.74,636.65
20240703093017,0,1014.86,51.59,35.39,73880.13,1226.98
20240703094017,0,1014.75,52.62,34.53,76183.37,1257.11
20240703095017,0,1014.71,53.94,33.6,82816.17,1298.49
20240703100017,0,1014.77,54.41,33.16,87627.3,1342.63
20240703101017,0,1014.33,53.12,33.13,63213.16,837.41
20240703102017,0,1013.91,47.9,36.5,35736.59,277.87
20240703103017,0,1013.91,42.55,43.12,29278.92,187.33
20240703104017,0,1014.57,42.67,46.74,66095.55,948.74
20240703105017,0,1014.62,47.78,40.96,81803.27,1268.3
20240703110017,0,1014.35,51.03,37.19,85820.91,1333.63
20240703111017,0,1014.14,52.27,35.56,84123.76,1308.9
20240703112017,0,1014.11,52.33,35.43,82206.67,1300.1
20240703113017,0,1014.05,51.96,35.76,81242.11,1295.25
20240703114017,0,1014.03,51.84,36.03,78989.9,1285.89
20240703115017,0,1013.88,51.43,36.94,77262.57,1256.98
20240703120017,0,1013.69,52.03,36.52,76299.45,1234.07
20240703121017,0,1013.66,52.57,36.15,74353.97,1209.33
20240703122017,0,1013.55,52.43,36.4,72634.28,1173.87
20240703123017,0,1013.48,52.42,36.35,71051.85,1141.5
20240703124017,0,1013.33,52.63,36.49,68732.09,1094.5
20240703125017,0,1013.36,52.83,36.25,64142.86,1049.14
20240703130017,0,1013.38,52.56,36.58,60093.96,988.53
20240703131017,0,1013.35,52.34,36.91,58432.04,928.83
20240703132017,0,1013.41,52.27,36.79,57169.01,864.17
20240703133017,0,1013.3,52.71,36.41,54361.75,808.13
20240703134017,0,1013.23,52.94,36.16,50836.65,730.29
20240703135017,0,1013.14,52.58,36.18,47297.88,643.93
20240703140017,0,1013.09,52.67,36.12,43351.59,568.8
20240703141017,0,1012.63,50.82,37.03,20536.4,308.27
20240703142017,0,1012.54,43.41,42.45,6550.25,10.48
20240703143017,0,1012.62,37.53,54.35,6055.17,7.82
20240703144017,0,1012.66,35.32,61.97,6005.5,7.32
20240703145017,0,1012.66,34.84,65.07,5792.5,6.8
20240703150017,0,1012.71,34.67,65.02,5742.08,6.65
20240703151017,0,1012.77,34.22,67.01,5622.42,6.45
20240703152017,0,1012.73,34.1,68.6,5593.92,6.42
20240703153017,0,1012.61,33.93,70.58,5666.42,6.75
20240703154017,0,1012.5,33.97,71.56,5765.5,7.17
20240703155017,0,1012.49,33.9,72.07,5668.33,6.93
20240703160017,0,1012.58,33.74,73.42,5810.25,7.28
20240703161017,0,1012.62,33.56,74.57,5565.17,7.06
20240703162017,0,1012.63,33.32,76.02,5169.67,6.4
20240703163017,0,1012.63,33.35,75.72,5385.75,6.34
20240703164017,0,1012.62,33.06,77.16,7273.58,9.57
20240703165017,0,1012.53,32.93,77.67,5437.5,5.91
20240704070017,0,1015.72,47.89,42.63,26945.75,261.15
20240704071017,0,1015.58,49.04,39.74,30803.58,321
20240704072017,0,1015.4,50.1,38.69,34833.5,386.28
20240704073017,0,1015.24,50.83,37.89,38548.5,456.3
20240704074017,0,1015.1,51.8,36.62,41745.74,528.73
20240704075017,0,1014.94,52.81,35.89,45865.95,602.93
20240704080017,0,1014.7,53.52,35.09,50348.79,679.34
20240704081017,0,1014.52,54.21,34.4,54235.43,757.28
20240704082017,0,1014.36,55.16,33.5,56360.6,837.7
20240704083017,0,1014.14,55.47,32.61,58249.65,897.42
20240704084017,0,1013.97,55.68,32.46,59607.19,964.07
20240704085017,0,1013.75,56.61,31.95,61239.11,1020.74
