Serial,WindSpeed(m/s),Pressure(hpa),Temperature(°C),Humidity(%),Sunlight(Lux),Power(mW)
20240401070017,0,1015.76,19.41,99.9,1415.08,0.5
20240401071017,0,1015.91,19.57,99.9,1379.25,0.45
20240401072017,0,1015.88,19.79,99.9,1570.75,0.59
20240401073017,0,1016.11,19.89,99.9,2004.33,0.9
20240401074017,0,1016.27,19.93,99.9,2705.08,1.55
20240401075017,0,1016.41,20.24,99.9,3526.33,2.6
20240401080017,0,1016.48,20.67,99.9,3752.08,2.92
20240401081017,0,1016.53,20.85,99.9,4143.92,3.63
20240401082017,0,1016.49,21.18,99.9,4985.5,5.14
20240401083017,0,1016.64,21.67,99.9,6261.75,8.05
20240401084017,0,1016.54,22.19,99.9,9183.92,17.78
20240401085017,0,1016.45,23.16,99.9,11745.92,28.4
20240401090017,0,1016.76,24.4,99.9,17063.92,63.71
20240401091017,0,1016.86,27.51,99.75,36328.46,272.7
20240401092017,0,1016.78,31.39,95.34,42185.1,364.36
20240401093017,0,1016.84,34.2,89.6,55650.02,685.79
20240401094017,0,1016.65,38.31,83.5,54913.4,633.9
20240401095017,0,1016.3,40.02,77.79,77657.16,1126.73
20240401100017,0,1015.99,43.86,69.4,95139.5,1244.95
20240401101017,0,1015.89,45.83,54.24,97245.61,1144.2
20240401102017,0,1015.74,45.92,45.78,98058.88,1173.81
20240401103017,0,1015.63,46.69,42.89,76480.39,833.68
20240401104017,0,1015.44,43.16,40.61,44924.46,398.88
20240401105017,0,1015.35,40.72,40.89,38150,293.51
20240401110017,0,1015.32,38.18,41.39,31045.58,195.16
20240401111017,0,1015.43,36.45,42.87,36993.83,277.17
20240401112017,0,1015.32,36.35,42.58,37802.83,291.35
20240401113017,0,1015.11,36.8,42.71,37117.6,285
20240401114017,0,1014.92,37.67,42.75,42622.53,374.81
20240401115017,0,1015.04,39,42.54,74015.26,1049.15
20240401120017,0,1014.64,42.16,39.3,80045.57,1124.89
20240401121017,0,1013.93,42.62,35.97,42963.34,502.01
