Serial,WindSpeed(m/s),Pressure(hpa),Temperature(°C),Humidity(%),Sunlight(Lux),Power(mW)
20240326070014,0,1011.64,35.26,46.83,10269.5,47.96
20240326071014,0,1011.86,33.03,50.91,15592.5,74.05
20240326072014,0,1012.09,34.91,47.77,17969.67,98.38
20240326073014,0.03,1012.34,39.15,36.36,22110.5,152.31
20240326074014,0,1012.54,38.05,37.52,24891.33,190.36
20240326075014,0.05,1012.69,37.6,37.89,29782.33,276.62
20240326080014,0.27,1012.73,37.1,39.77,32997.67,338.09
20240326081014,0,1012.91,39.89,35.15,36436.08,408.46
20240326082014,0,1013.05,42.27,29.83,36313.01,405.61
20240326083014,0.05,1012.95,38.58,35.35,42845.22,556.87
20240326084014,0.08,1012.91,39.64,34.01,49180.83,719.71
20240326085014,0.08,1012.84,38.04,37.61,53904.63,838.73
20240326090014,0.22,1012.95,37.08,39.91,58287.57,951.9
20240326091014,0.06,1013.06,37.88,38.03,63440.82,1062.13
20240326092014,0.16,1013.04,36.19,41.65,67877.67,1172.17
20240326093014,0.06,1013.19,41.53,32.64,71962.33,1263.11
20240326094014,0.32,1013.21,37.44,39.11,75993.26,1347.12
20240326095014,0.64,1013.09,35.9,42.96,79963.09,1432.92
20240326100014,0.73,1013.18,34.02,47.57,82988.31,1509.16
20240326101014,1.65,1013.34,31.81,58.08,86085.4,1593.65
20240326102014,1.45,1013.5,33.15,54.77,89693.35,1662.25
20240326103014,1.65,1013.56,33.13,55.45,83875.26,1576.43
20240326104014,1.33,1013.52,33.33,55.26,82510.71,1528.96
20240326105014,1.4,1013.49,33.35,55.62,77998,1414.28
20240326110014,1.94,1013.54,32.34,59.39,88992.57,1528.05
20240326111014,2.06,1013.57,32.82,58.31,101433.41,1782.21
20240326112014,2.38,1013.66,31.16,65.16,43562.7,544.45
20240326113014,2.85,1013.78,28.01,76.88,10093.25,29.57
20240326114014,2.38,1013.95,26.32,81.02,10591.17,29.15
20240326115014,2.94,1014.12,25.77,80.7,11140.17,30.83
20240326120014,3.19,1014.11,25.17,82.86,7030.17,12.32
20240326121014,2.23,1014.18,25.14,81.77,6086.83,8.78
20240326122014,3.03,1014.29,24.52,82.59,5792.58,7.63
20240326123014,2.59,1014.32,24.13,83.42,5828.67,7.89
20240326124014,2.74,1014.34,23.85,84.25,6196.83,9.24
20240326125014,2.16,1014.41,23.6,84.84,5892.08,8.02
20240326130014,2.33,1014.39,23.32,86.51,6004.92,8.29
20240326131014,2.19,1014.42,22.7,91.11,5524.75,7.86
20240326132014,2.05,1014.5,22.34,94.21,5978.08,8.5
20240326133014,1.93,1014.56,21.98,96,4429.17,5.07
20240326134014,2.04,1014.52,21.89,97.1,4205.42,4.45
20240326135014,1.01,1014.58,21.8,97.81,2932.92,2.05
20240326140014,1.86,1014.49,21.54,96.74,3721.25,3.2
20240326141014,1.98,1014.4,21.52,96.1,3136.17,2.27
20240326142014,2.17,1014.34,21.47,94.64,2949.25,2
20240326143014,1.85,1014.4,21.63,92.69,2720.92,1.61
20240326144014,1.66,1014.42,21.83,90.84,2951,1.95
20240326145014,1.98,1014.46,21.74,89.71,2832.58,1.88
20240326150014,1.62,1014.36,21.69,89.87,2658.33,1.76
20240326151014,1.11,1014.38,21.78,89.08,3040.16,2.35
20240326152014,1.26,1014.39,21.82,88.49,3917.42,3.85
20240326153014,1.34,1014.43,21.6,89.92,3105.67,2.41
20240326154014,0.93,1014.5,21.16,92.43,3228,2.57
20240326155014,0.91,1014.49,21.63,89.63,3337,2.76
20240326160014,1.03,1014.57,21.33,90.67,2744.75,1.88
20240326161014,0.86,1014.63,20.99,93.6,2598.5,1.73
20240326162014,0.68,1014.72,20.82,94.99,2471.67,1.6
20240326163014,0.36,1014.78,20.79,95.36,2305.75,1.49
20240326164014,0.45,1014.81,20.78,94.95,2362.58,1.61
20240326165014,0.55,1014.88,20.83,94.87,1966.33,1.07
20240327070014,0.54,1016.52,20.93,86.27,5540.17,8.61
20240327071014,0.36,1016.6,21.08,85.62,6723.67,12.71
20240327072014,0.45,1016.75,21.28,85.22,6570.5,12.08
20240327073014,0.48,1016.7,21.7,83.35,8881.92,22.09
20240327074014,0.43,1016.8,21.8,82.79,10540.58,30.42
20240327075014,0.85,1016.7,22.59,79.16,14975.67,61.47
20240327080014,0.72,1016.76,23.39,75.35,17215,80.53
20240327081014,0.19,1016.78,23.9,73.29,17004.67,78.45
20240327082014,0.04,1016.77,24.26,71.22,16044,69.97
20240327083014,0.03,1016.87,24.93,68.72,17130.67,79.05
20240327084014,0.02,1016.91,25.47,68.19,18017,87.68
20240327085014,0.28,1017,25.36,67.27,20034.58,108
