Serial,WindSpeed(m/s),Pressure(hpa),Temperature(°C),Humidity(%),Sunlight(Lux),Power(mW)
20240705070017,0,1012.38,48.73,38.52,27571.5,262.92
20240705071017,0,1012.22,50.21,36.46,31455.92,324.04
20240705072017,0,1012.07,51.52,35.13,35547.75,391.17
20240705073017,0,1012.06,52.29,33.76,39272.39,460.99
20240705074017,0,1012.03,52.84,32.97,42487.47,534.69
20240705075017,0,1011.97,53.43,32.2,46616.69,612.74
20240705080017,0,1011.83,53.98,32.17,50998.72,687.56
20240705081017,0,1011.7,55.01,31.9,54731.73,767.12
20240705082017,0,1011.57,55.43,31.87,56358.08,839.71
20240705083017,0,1011.37,56.12,31.79,58971.1,905.99
20240705084017,0,1011.23,56.27,31.73,59403.06,953.58
20240705085017,0,1011.11,56.04,31.87,61172.81,1019.69
20240705090017,0,1011.15,54.78,32.82,63638.66,1073.36
20240705091017,0,1011.31,53.46,33.23,65936.51,1134.5
20240705092017,0,1011.37,52.72,35.31,70032.66,1165.93
20240705093017,0,1011.27,54.91,33.8,73057.88,1188.46
20240705094017,0,1011.36,54.77,33.53,74500.05,1238.52
20240705095017,0,1011.46,53.78,34.36,78747.15,1263.56
20240705100017,0,1011.44,53.72,34.47,81606.69,1287.25
20240705101017,0,1011.43,53.41,34.59,82391.93,1307.87
20240705102017,0,1011.37,52.59,35.65,83910.47,1316.44
20240705103017,0,1011.2,53.3,34.98,86005.44,1329.66
20240705104017,0,1011.11,53.23,35.07,84782.67,1330.83
20240705105017,0,1011,53.63,34.98,82495.79,1323.78
20240705110017,0,1010.98,53.77,34.86,74191.71,1333.28
20240705111017,0,1011.04,52.72,35.79,79701.65,1336.42
20240705112017,0,1010.87,52.32,36.39,80733.05,1328.74
20240705113017,0,1010.83,51.8,36.81,78779.85,1319.17
20240705114017,0,1010.58,51.99,36.78,74035.56,1296.38
20240705115017,0,1010.4,52.72,36.14,72255.94,1275.84
20240705120017,0,1010.25,52.56,36.14,72018.75,1255.11
20240705121017,0,1010.18,52.72,36.06,72210.66,1228.57
20240705122017,0,1009.94,52.79,36.22,70134.01,1193.3
20240705123017,0,1009.73,53.59,35.16,71541.14,1157.38
20240705124017,0,1009.75,53.79,34.37,68704.77,1118.66
20240705125017,0,1009.82,53.98,34.05,64607.72,1068.33
20240705130017,0,1009.66,53.7,33.9,60426.92,1011.57
20240705131017,0,1009.68,53.69,33.67,59693.18,950.88
20240705132017,0,1009.66,53.63,33.21,53801.62,789.37
20240705133017,0,1009.79,53.11,33.73,54856.61,814.92
20240705134017,0,1009.57,53.59,33.62,51881.71,757.88
20240705135017,0,1009.6,53.58,33.38,46603.39,627.17
20240705140017,0,1009.48,51.86,34.75,39080.79,482.28
20240705141017,0,1009.18,50.16,36.69,25555.89,336.62
20240705142017,0,1008.84,44.93,39.05,7563.92,14.21
20240705143017,0,1008.88,39.47,48.12,6240.25,8.1
20240705144017,0,1008.89,36.7,55.02,6097.67,7.6
20240705145017,0,1008.85,35.65,59.58,6115.67,7.84
20240705150017,0,1008.78,35.33,59.57,5958,7.34
20240705151017,0,1008.66,35.11,60.58,5630.83,6.47
20240705152017,0,1008.66,34.92,62.07,5646.42,6.9
20240705153017,0,1008.61,34.64,63.59,5909.17,7.72
20240705154017,0,1008.58,34.72,63.61,7005.17,9.98
20240705155017,0,1008.46,34.26,64.23,5161.58,4.88
20240705160017,0,1008.43,33.61,66.06,3731.42,2.31
20240705161017,0,1008.46,33.28,68.17,4300.58,3.96
20240705162017,0,1008.5,32.84,68.48,3362,1.95
20240705163017,0,1008.54,32.4,70.82,4121.83,3
20240705164017,0,1008.6,32.41,70.13,3317.92,1.9
20240705165017,0,1008.72,32.16,71.38,3395,2.04
20240706070017,0,1011.83,48.41,39.78,27891.08,256.8
20240706071017,0,1011.82,49.04,38.29,31584.66,315.71
20240706072017,0,1011.8,49.56,37.31,35449.41,379.37
20240706073017,0,1011.71,50.89,36.47,39337.85,448.89
20240706074017,0,1011.57,52.23,34.59,42338.15,523.19
20240706075017,0,1011.47,52.97,33.34,46351.11,598.19
20240706080017,0,1011.29,53.79,33.11,50937.27,672.91
20240706081017,0,1011.15,53.89,32.49,54544.5,748.52
20240706082017,0,1011.02,54.07,32.6,56518.72,823.76
20240706083017,0,1010.77,55.56,31.05,59069.57,889.73
20240706084017,0,1010.62,56.08,30.39,59946.44,947
20240706085017,0,1010.6,55.66,30.62,61076.68,998.75
