Serial,WindSpeed(m/s),Pressure(hpa),Temperature(°C),Humidity(%),Sunlight(Lux),Power(mW)
20240505070008,0,1006.53,25.92,100,5190.67,6.06
20240505071008,0,1006.73,25.84,100,4594.33,4.8
20240505072008,0,1006.82,26.21,100,8071.92,16.82
20240505073008,0,1006.92,26.85,100,9134.25,22.48
20240505074008,0,1006.98,27.26,100,10506.83,29.16
20240505075008,0,1007.01,27.61,100,10793.83,28.72
20240505080008,0,1007,28.04,100,10227.75,24.4
20240505081008,0,1006.95,28.25,100,9452.08,20.92
20240505082008,0,1006.94,28.64,99.95,12304,36.32
20240505083008,0,1007.09,29.01,98.02,13635.5,42.94
20240505084008,0,1007.25,29.3,97.47,11174.17,30.51
20240505085008,0,1007.28,29.1,98.05,9611.33,22.63
20240505090008,0,1007.36,28.99,98.88,12005.25,33.47
20240505091008,0,1007.49,29.19,97.92,13277.59,40.59
20240505092008,0,1007.59,29.1,98.56,11467.17,31.03
20240505093008,0,1007.65,29.08,98.38,11476,32.3
20240505094008,0,1007.49,29.92,94.44,17912.67,74.16
20240505095008,0,1007.49,31.29,87.61,20111.25,93.8
20240505100008,0,1007.23,31.59,84.33,19217.58,86.48
20240505101008,0,1007.31,31,84.22,17753,73.12
20240505102008,0,1007.31,30.79,84.4,20263.08,95.12
20240505103008,0,1007.34,30.81,83.64,19418.83,87.17
20240505104008,0,1007.17,31.18,82.05,16357.08,63
20240505105008,0,1007.2,30.66,84.4,17916.58,76.59
20240505110008,0,1007.08,31.21,83.78,22817.67,137.64
20240505111008,0,1007,31.62,81.34,21003.17,139.02
20240505112008,0,1006.99,31.66,81.22,22617.33,125.56
20240505113008,0,1006.88,31.73,80.04,18781.42,83.09
20240505114008,0,1006.52,31.31,82.09,18236.33,76.97
20240505115008,0,1006.5,30.85,85.39,13588.42,44.56
20240505120008,0,1006.45,30.46,87.7,15724.92,60.32
20240505121008,0,1006.34,31.52,84.42,26116.92,159.69
20240505122008,0,1006.27,32.72,78.77,34161.52,281.59
20240505123008,0,1006.26,35.03,68.63,34433.14,301.37
20240505124008,0,1006.12,34.92,67.44,46265.56,677.18
20240505125008,0,1005.74,36.92,59.53,37746.48,480.05
20240505130008,0,1005.5,34.02,69.18,16423.5,62.45
20240505131008,0,1005.23,34.24,70.23,29490.48,228.8
20240505132008,0,1005.03,33.02,72.6,14509.08,47.04
20240505133008,0,1005.04,33.73,71.06,44708.6,542.63
20240505134008,0,1004.81,39.03,53.51,84817.35,1482.41
20240505135008,0,1004.6,39.54,48.52,20190.65,151.73
20240505140008,0,1004.4,33.94,67.63,13962.75,41.03
20240505141008,0,1004.38,32.72,74.5,14315.67,46.3
20240505142008,0,1004.22,32.74,75.35,17944.5,85.04
20240505143008,0,1004.21,32.18,76.54,8969.5,21.97
20240505144008,0,1004.2,30.72,82.56,3330.33,3.38
20240505145008,0,1004.13,29.75,88.56,4019.34,4.41
20240505150008,0,1004.07,29.6,90.44,6581.75,10.39
20240505151008,0,1003.93,29.94,88.68,9116.75,20
20240505152008,0,1003.86,30.43,87.57,10241.17,26.38
20240505153008,0,1003.84,31.01,85.16,13258.83,44.7
20240505154008,0,1003.84,30.97,85.16,9512,23.73
20240505155008,0,1003.91,30.98,85.66,11458.83,32.16
20240505160008,0,1003.77,31.16,84.99,12292.42,35.8
20240505161008,0,1003.63,30.86,86.57,8135.08,18.98
20240505162008,0,1003.4,30.08,90.71,3947.75,3.58
20240505163008,0,1003.3,29.54,94.2,4589.33,4.77
20240505164008,0,1003.42,29.4,96.35,5538.17,6.35
20240505165008,0,1003.58,29.47,96.61,5438.17,6.43
20240506070008,0,1006.84,25.42,100,3901.08,3.38
20240506071008,0,1006.88,25.73,100,4399.92,4.47
20240506072008,0,1006.93,26.11,100,4421.33,4.55
20240506073008,0,1006.94,26.43,100,4610.17,5.13
20240506074008,0,1006.98,26.68,100,4811.42,5.76
20240506075008,0,1006.99,27.09,99.08,5323.08,7.18
20240506080008,0,1007.06,27.48,97.91,5267.58,7.17
20240506081008,0,1006.94,27.79,94.83,5319.25,7.41
20240506082008,0,1006.9,28.16,93.39,5337.33,7.65
20240506083008,0,1006.86,28.4,92.02,5544.75,8.29
20240506084008,0,1006.91,28.71,90.82,5777.83,8.97
20240506085008,0,1006.94,28.71,91.94,6444.5,11.08
20240506090008,0,1007.03,28.89,93.87,6870.75,12.16
20240506091008,0,1007.1,29.12,95.31,5985.42,9.01
20240506092008,0,1007.17,29.27,95.18,6406.25,10.32
20240506093008,0,1007.27,29.45,94.34,6795.25,11.44
20240506094008,0,1007.28,29.52,93.22,6911.33,11.51
20240506095008,0,1007.3,29.56,90.14,7000.75,11.48
20240506100008,0,1007.27,29.59,88.16,7304.92,12.15
20240506101008,0,1007.28,29.68,89.99,7712.75,13.26
20240506102008,0,1007.29,29.86,90.59,8164.08,14.56
20240506103008,0,1007.37,29.89,90.75,8742.75,16.28
20240506104008,0,1007.37,30.02,90.46,8966,16.76
20240506105008,0,1007.38,29.96,91.28,9167,17.41
20240506110008,0,1007.38,30.25,91.04,9809.75,21.89
20240506111008,0,1007.36,31.77,86.75,12680.5,967.53
20240506112008,0,1007.32,36.34,68.66,45855.48,1359.69
20240506113008,0,1007.18,40.16,53.45,83408.78,1371.76
20240506114008,0,1007.13,39.76,52.3,77626.08,1318.5
20240506115008,0,1007.02,41.14,48.05,86671.73,1443.2
20240506120008,0,1006.92,41.03,47.72,82535.68,1378.95
20240506121008,0,1006.75,42.61,44.12,79134.02,1360.08
20240506122008,0,1006.69,43.5,41.84,82920.93,1378.8
20240506123008,0,1006.58,41.25,45.6,46158.97,603.01
20240506124008,0,1006.48,39.39,51.1,60540.78,974.25
20240506125008,0,1006.4,39.71,49.39,46783.62,806.4
20240506130008,0,1006.29,40.45,47.89,60235.58,891.09
20240506131008,0,1006.13,41.79,44.75,75882.75,1318.99
20240506132008,0,1005.96,40.17,47.07,58113.12,1062.94
20240506133008,0,1005.89,40.56,45.18,39205.65,539.4
20240506134008,0,1005.79,36.38,58.58,31431.87,357.82
20240506135008,0,1005.77,37.55,56.62,46007.27,715.47
20240506140008,0,1005.67,38.39,54.54,34935.09,523.31
20240506141008,0,1005.57,35.72,61.86,12235.5,33.65
20240506142008,0,1005.41,35.27,63.8,32341.29,467.77
20240506143008,0,1005.3,35.65,61.06,24396.42,148.7
20240506144008,0,1005.27,33.68,68.42,11956.42,32.97
20240506145008,0,1005.26,31.76,79.17,10067.75,21.22
20240506150008,0,1005.31,31.48,81.72,10806.33,26.42
20240506151008,0,1005.27,30.96,85.33,8521.33,14.43
20240506152008,0,1005.29,30.6,87.01,9790,21.62
20240506153008,0,1005.38,30.57,88.32,7737.92,12.37
20240506154008,0,1005.4,30.04,91.92,5494.92,6.79
20240506155008,0,1005.41,29.75,95.15,5325.75,6.49
20240506160008,0,1005.4,29.79,94.83,3801.67,3.4
20240506161008,0,1005.59,29.75,96.85,4315.84,4.82
20240506162008,0,1005.7,29.61,98.52,1971.25,0.9
20240506163008,0,1005.79,29.42,99.96,2202.83,1.05
20240506164008,0,1005.84,29.28,99.96,2466.17,1.39
20240506165008,0,1005.91,29.3,100,3304,2.61
20240507070008,0,1010.5,27.33,100,5631.08,8.25
20240507071008,0,1010.53,27.51,100,6014.25,8.84
20240507072008,0,1010.58,28.24,100,8082.42,16.4
20240507073008,0,1010.62,28.91,98.97,7746.75,14.24
20240507074008,0,1010.59,29.04,96.06,7517.58,13.67
20240507075008,0,1010.58,29.09,95.28,7083.92,12.62
20240507080008,0,1010.56,29.14,93.55,7524,14.73
20240507081008,0,1010.5,29.3,92.73,8398.5,18.15
20240507082008,0,1010.58,29.55,92.06,9442.58,24.37
20240507083008,0,1010.66,29.51,91.3,6946.25,9.78
20240507084008,0,1010.66,29.42,91.57,7430.67,12.55
20240507085008,0,1010.64,29.31,92.48,7789.17,14.87
20240507090008,0,1010.6,29.72,91.05,11856.75,35.44
20240507091008,0,1010.56,29.87,87.78,10130.58,23.94
20240507092008,0,1010.63,30.15,84.37,14327.75,50.26
20240507093008,0,1010.63,30.77,80.28,15401.17,54.13
20240507094008,0,1010.52,30.88,79.25,14261.75,46.16
20240507095008,0,1010.4,30.8,77.37,14140.33,47.5
20240507100008,0,1010.3,30.99,78.08,17185,71.22
20240507101008,0,1010.36,31.6,76.53,18388.92,77.67
20240507102008,0,1010.3,32.09,74.44,20791.5,99.59
20240507103008,0,1010.33,31.88,74.93,20462.33,97.17
20240507104008,0,1010.46,31.65,75.31,15469.92,58.97
20240507105008,0,1010.47,31.6,75.27,19444,95.68
20240507110008,0,1010.48,31.69,74.26,15218.5,57.67
20240507111008,0,1010.44,31.23,76.35,15409,59.72
20240507112008,0,1010.28,31.87,73.03,27275.92,194.09
20240507113008,0,1010.33,33.41,66.06,31369.5,229.83
20240507114008,0,1010.48,33.52,64.74,23883.67,139.15
20240507115008,0,1010.4,32.86,66.4,21264.75,115.96
20240507120008,0,1010.32,32.35,66.77,26418.75,220.4
20240507121008,0,1010.26,34.38,59.75,43891.01,553.23
20240507122008,0,1010.18,35.77,52.26,37477.26,476.27
20240507123008,0,1010,34.94,54.64,22015.09,176
20240507124008,0,1009.98,31.74,66.11,6725.67,11.01
20240507125008,0,1009.93,30.11,76.05,3787.58,4.08
