Serial,WindSpeed(m/s),Pressure(hpa),Temperature(°C),Humidity(%),Sunlight(Lux),Power(mW)
20240617070017,0,1008.01,29.82,99.9,7766.17,12.93
20240617071017,0,1007.9,30.35,99.9,8523,15.65
20240617072017,0,1007.92,30.92,99.7,9967.17,21.25
20240617073017,0,1008.03,31.54,96.58,10577.42,23.3
20240617074017,0,1008.17,31.54,94.32,10329.92,22.31
20240617075017,0,1008.21,31.76,93.04,11354.42,26.52
20240617080017,0,1008.18,31.94,92.1,9507.08,18.46
20240617081017,0,1008.2,31.49,92.06,8449.83,14.66
20240617082017,0,1008.2,30.88,93.86,8137.92,13.87
20240617083017,0,1008.21,30.9,94.62,10982.58,25.75
20240617084017,0,1008.24,31.53,93.03,11427.58,26.89
20240617085017,0,1008.21,31.67,91.79,11513.58,26.77
20240617090017,0,1008.27,31.86,91.15,12316.92,31.05
20240617091017,0,1008.32,32.27,90.22,14084,40.98
20240617092017,0,1008.37,33.05,87.68,16851.33,58.8
20240617093017,0,1008.26,34.06,84.14,17670.58,63.74
20240617094017,0,1008.18,35.25,80.12,20568.67,85.6
20240617095017,0,1008.09,36.27,75.21,22031.17,97.1
20240617100017,0,1007.95,37.19,70.54,21888.42,97.12
20240617101017,0,1007.96,37.33,67.79,20265.58,84.86
20240617102017,0,1007.94,37.4,66.58,21516.58,93.97
20240617103017,0,1008,37.47,65.57,23612.17,109.57
20240617104017,0,1008.13,37.56,65.34,24207.42,113.69
20240617105017,0,1008.08,37.2,65.16,19166.25,72.17
20240617110017,0,1008.05,35.79,70.48,16504,52.79
20240617111017,0,1008,35.06,73.6,13775.33,36.9
20240617112017,0,1007.89,34.08,77.32,11885.25,28.23
20240617113017,0,1007.89,33.24,81.75,11865.33,28.79
20240617114017,0,1007.86,33.36,82.89,14050.25,40.48
20240617115017,0,1007.8,33.83,81.93,17164.33,60.44
20240617120017,0,1007.7,34.26,80.33,16705.67,57.71
20240617121017,0,1007.63,34.66,79.39,20337.92,84.76
20240617122017,0,1007.53,36.15,75.37,26375,143.35
20240617123017,0,1007.44,37.53,69.11,29085.17,173.94
20240617124017,0,1007.26,38.75,63.98,28782.42,174.3
20240617125017,0,1007.13,39.92,58.81,30160.08,194.08
20240617130017,0,1007.14,40.63,55.58,39550.07,362.66
20240617131017,0,1007.26,43.85,51.15,55857.48,747.72
20240617132017,0,1006.46,48.94,43.43,52194.9,630.18
20240617133017,0,1006.3,50.29,40.14,49556.55,597.98
20240617134017,0,1006.17,49.91,39.67,45118.81,503.92
20240617135017,0,1005.93,49.43,40.11,41414.75,433.93
