Serial,WindSpeed(m/s),Pressure(hpa),Temperature(°C),Humidity(%),Sunlight(Lux),Power(mW)
20240712070001,0,1000.42,40,58.13,21535.33,95.68
20240712071001,0,1000.37,41.42,53.67,22626.92,109.18
20240712072001,0,1000.29,41.98,50.7,25002.83,137.01
20240712073001,0,1000.22,42.91,47.93,27195.67,165.9
20240712074001,0,1000.18,43.87,45.82,29102,197.95
20240712075001,0,1000.06,43.96,45.17,30538.5,224.34
20240712080001,0,1000.12,44.65,43.91,33601.64,279.36
20240712081001,0,1000.21,44.79,42.82,40209.82,402.9
20240712082001,0,1000.27,46.94,39.83,41786.61,430.16
20240712083001,0,1000.3,48.22,37.44,45724.95,516.85
20240712084001,0,1000.22,48.9,35.83,47141.73,533.21
20240712085001,0,1000.12,49.24,35.09,49973.61,596.3
20240712090001,0,1000.08,49.62,34.41,54716.64,708.71
20240712091001,0,999.97,49.04,34.82,49724.2,583.73
20240712092001,0,999.85,48.69,35.57,57509.7,768.76
20240712093001,0,999.73,49.83,34.4,62869.24,897.41
20240712094001,0,999.65,50.77,32.92,67045.54,1000.66
20240712095001,0,999.65,51.45,32.03,61686.36,853.35
20240712100001,0,999.67,50.78,32.72,75091.77,1154.4
20240712101001,0,999.7,51.37,31.9,73565.68,1083.04
20240712102001,0,999.6,51.17,31.5,72068.7,1036.88
20240712103001,0,999.46,50.43,32.49,71295.87,1025.72
20240712104001,0,999.46,50.59,32.23,88706.69,1335.56
20240712105001,0,999.48,51.2,31.37,86509.47,1277.76
20240712110001,0,999.39,51.31,30.75,80244.66,1191.18
20240712111001,0,999.24,50.71,30.91,83625.3,1253.87
20240712112001,0,999.19,49.65,31.65,85097.3,1274.36
20240712113001,0,999.1,48.37,32.81,84545.3,1258.34
20240712114001,0,998.99,47.56,33.96,82673.68,1243.86
20240712115001,0,998.85,46.7,35.36,86887.53,1317.47
20240712120001,0,998.79,46.75,35.38,84140.29,1282.98
20240712121001,0,998.75,46.84,35.17,81501.26,1252.8
20240712122001,0,998.66,46.51,35.77,83858.36,1304.56
20240712123001,0,998.54,46.33,35.88,71355.52,1062.36
20240712124001,0,998.52,44.09,39.02,72248.39,1154.45
20240712125001,0,998.5,44.46,39.73,71630.8,1148.4
20240712130001,0,998.48,45.33,38.31,73422.11,1255.6
20240712131001,0,998.47,46.33,36.94,73790.65,1312.22
20240712132001,0,998.43,46.94,36.02,64352.74,1126.67
20240712133001,0,998.56,46.42,36.32,59017.46,937.35
20240712134001,0,998.54,44.25,39.08,55031.09,796.93
20240712135001,0,998.58,43.87,40,59791.41,935.36
20240712140001,0,998.53,45.06,39.08,56852.4,874.57
20240712141001,0,998.51,43.9,40.48,46793.68,583.58
20240712142001,0,998.53,42.92,42.54,46329.73,625.54
20240712143001,0,998.51,44.24,40.54,35572.34,397.64
20240712144001,0,998.49,41.17,45.04,25599.67,179.55
20240712145001,0,998.48,40.84,46.28,29517.17,241.05
20240712150001,0,998.5,42.1,44.57,31776.92,280.79
20240712151001,0,998.44,42.36,43.63,29758.33,244.75
20240712152001,0,998.48,42.77,43.5,30120.17,255.52
20240712153001,0,998.48,42.59,43.09,25506.91,188
20240712154001,0,998.52,41.79,44.94,25567.58,179.01
20240712155001,0,998.45,42.41,43.84,21321.08,120.11
20240712160001,0,998.46,41.41,45.47,23004.83,140.84
20240712161001,0,998.5,43.3,42.82,27157.92,201.53
20240712162001,0,998.48,43.43,41.79,17065,73.41
20240712163001,0,998.46,41.02,45.47,13571.08,44.05
20240712164001,0,998.45,38.57,50.06,11881.42,32.91
20240712165001,0,998.41,37.88,52.19,10877.67,29.1
20240713070001,0,1000.51,42.71,49.81,26110,134.59
20240713071001,0,1000.6,42.98,48.64,27581.75,154.81
20240713072001,0,1000.65,41.09,50.14,11076.17,25.28
20240713073001,0,1000.73,36.98,57.97,10632.75,25.58
20240713074001,0,1000.81,35.45,63.56,14549.17,50.23
20240713075001,0,1000.81,35.68,64.86,19998.34,97.2
20240713080001,0,1000.84,36.65,62.66,22036.67,118.85
20240713081001,0,1000.95,36.62,61.26,13952.78,46.23
20240713082001,0,1000.95,35.27,64.31,12975.17,39.78
20240713083001,0,1000.96,35.42,66.04,25312.5,172.02
20240713084001,0,1000.94,39.8,58.91,62229.69,957.92
20240713085001,0,1001.01,46.25,44.91,61950.86,941.99
