Serial,WindSpeed(m/s),Pressure(hpa),Temperature(°C),Humidity(%),Sunlight(Lux),Power(mW)
20240226070014,0.61,1018.62,16.1,90.99,2402.5,1.56
20240226071014,0.35,1018.71,16.06,89.98,3329.92,2.79
20240226072014,0.38,1018.84,16.18,89.84,3305.08,2.65
20240226073014,0.72,1018.87,16.27,89.25,4311.5,4.54
20240226074014,0.04,1019.01,16.73,88.78,5009.83,6.39
20240226075014,0.02,1019.12,16.98,87.82,5252.67,7.26
20240226080014,0.5,1019.28,16.52,89.3,6173.08,9.58
20240226081014,0.82,1019.34,16.36,89.7,8643.08,18.5
20240226082014,0.72,1019.42,16.66,88.41,10738.84,29.29
20240226083014,0.78,1019.46,17.32,86.35,12633.83,40.13
20240226084014,0.18,1019.52,18.27,80.19,14631.92,53.34
20240226085014,0.73,1019.58,18.36,79.35,13050.67,43.02
20240226090014,0.75,1019.57,18.51,81.67,13277.5,44.5
20240226091014,0.45,1019.58,19.18,75.95,15671,62.44
20240226092014,0.74,1019.5,18.68,75.03,16774.17,71.41
20240226093014,1.03,1019.38,18.96,74.94,15686.08,62.36
20240226094014,1.05,1019.36,18.28,76.73,13739.5,49.41
20240226095014,0.77,1019.33,18.72,75.48,15178.75,56.59
20240226100014,0.73,1019.26,18.73,73.6,14757.08,53.15
20240226101014,0.38,1019.1,19.24,71.22,16656.17,68.09
20240226102014,0.31,1019.09,20.27,69.05,16808.08,68.75
20240226103014,0.69,1019,19.62,68.76,18707.83,84.48
20240226104014,0.79,1018.88,20.08,69.14,19564.33,91.76
20240226105014,0.78,1018.66,20.42,67.37,22236,116.86
20240226110014,0.39,1018.54,20.7,65.54,20337,97.82
20240226111014,0.64,1018.45,21.11,65.17,21453.25,106.66
20240226112014,1.26,1018.34,20.73,67.54,20467,98.76
20240226113014,0.78,1018.18,19.64,68.47,16487.83,64.51
20240226114014,0.5,1018.15,19.94,69.15,14543.83,50.44
20240226115014,0.27,1017.99,19.8,67.65,14310,48.2
20240226120014,0.82,1017.74,19.59,68.88,13311.58,41.97
20240226121014,1.18,1017.55,18.85,71.3,11626.33,32.35
20240226122014,1.08,1017.41,18.68,71.71,10133.58,24.65
20240226123014,0.98,1017.26,19.48,71.85,13888.83,46.53
20240226124014,0.84,1017.1,19.86,69.25,15884.67,57.93
20240226125014,0.85,1016.89,19.23,69.87,13940.67,45.4
20240226130014,1.1,1016.67,18.7,72.22,14221.83,46.96
20240226131014,0.86,1016.47,19.11,71.36,17708.17,72.8
20240226132014,0.7,1016.35,19.49,70.32,18559.25,81.6
20240226133014,0.89,1016.35,19.4,70.85,17817.33,77.58
20240226134014,1.01,1016.25,19.7,70.35,17965.91,77.9
20240226135014,0.78,1016.2,19.29,70.52,14339.83,48.98
20240226140014,0.62,1016.16,19.03,71.7,11459.54,31.37
20240226141014,0.83,1016.14,18.49,73.68,9652.67,22.21
20240226142014,1.13,1016.1,18.17,75.92,9581.25,21.77
20240226143014,0.98,1016.04,18.4,75.86,9804.83,22.96
20240226144014,0.75,1015.97,18.2,77.09,9194.25,20.27
20240226145014,0.92,1015.96,18.07,78.46,8608.83,18
20240226150014,0.81,1015.96,18.17,79.92,8661.75,18.36
20240226151014,0.78,1015.93,18.12,79.43,8819.5,18.98
20240226152014,0.78,1015.93,17.91,79.94,8681.17,18.51
20240226153014,0.74,1015.93,17.84,80.21,7281.17,13.08
20240226154014,1,1015.89,17.34,83.61,6752,11.28
20240226155014,0.94,1015.84,16.88,87.33,6614.33,10.99
20240226160014,0.79,1015.75,16.96,87.27,5265.83,7.07
20240226161014,0.87,1015.74,16.91,87.62,3971.25,4.05
20240226162014,0.45,1015.81,16.92,87.27,3498.67,3.14
20240226163014,0.81,1015.97,16.66,88.55,3049.67,2.37
20240226164014,0.52,1016.16,16.7,88.43,2494,1.64
20240226165014,0.54,1016.18,16.81,87.89,2332.83,1.44
20240227070014,1.49,1017.53,16.51,94.11,4204.25,5.46
20240227071014,1.58,1017.61,16.66,92.91,5524.5,8.82
20240227072014,1.21,1017.66,16.91,91.81,6973.17,13.66
20240227073014,0.84,1017.74,17.48,89.51,9129.58,23.12
20240227074014,1.22,1017.83,17.86,87.79,9422.25,23.95
20240227075014,1.3,1017.83,17.97,87.24,11102.75,31.82
20240227080014,0.85,1017.79,18.34,85.51,12768.5,41.85
20240227081014,1.16,1017.83,18.71,84.41,14651.67,53.96
20240227082014,1.07,1017.97,19.01,83.04,15445.33,60.23
20240227083014,1.3,1018.08,19.17,81.47,16643.33,68.92
20240227084014,0.79,1018.15,20.05,77.91,22018.5,118.3
20240227085014,0.66,1018.1,21.12,74.15,22354.83,119.83
