Serial,WindSpeed(m/s),Pressure(hpa),Temperature(°C),Humidity(%),Sunlight(Lux),Power(mW)
20240519070006,0.2,1004.6,27.07,69.77,10887.83,27.47
20240519071006,0,1004.58,27.37,69.28,10995.42,29.1
20240519072006,0,1004.59,28.33,66.9,15546.33,53.41
20240519073006,0.02,1004.61,29.51,63.16,15969.42,59.54
20240519074006,0.04,1004.61,30.1,60.85,18615.17,85.78
20240519075006,0.3,1004.69,30.46,58.1,20325.58,100.61
20240519080006,0.3,1004.7,30.57,57.53,20639.5,101.88
20240519081006,0.5,1004.65,30.71,56.86,22378.42,126.39
20240519082006,0.1,1004.72,31.64,55.01,25707.08,160.67
20240519083006,0.23,1004.87,32.67,51.15,29170.17,193.04
20240519084006,0.12,1004.93,33.23,48.75,27746.75,173.33
20240519085006,0.13,1004.86,33.42,47.63,29461.08,195.53
20240519090006,0.02,1004.78,33.97,46.13,25855.5,159.38
20240519091006,0.07,1004.8,34.1,45.43,23554.84,139.33
20240519092006,0.12,1004.71,33.87,45.83,22187.67,124.85
20240519093006,0.1,1004.79,33.12,47.44,17918.58,82.47
20240519094006,0.1,1004.8,32.4,49.34,16593.25,75.49
20240519095006,0.04,1004.66,32.82,48.54,19278.42,103.94
20240519100006,0.05,1004.63,33.71,46.22,22158.25,120.22
20240519101006,0.1,1004.63,33.93,45.14,21998.25,116.86
20240519102006,0.02,1004.58,34.02,45.27,21277.17,122.07
20240519103006,0.03,1004.56,34.38,44.27,23115.67,139.01
20240519104006,0.02,1004.6,35.06,42.52,25859.83,163.24
20240519105006,0,1004.57,35.3,42.1,21294.17,115.49
20240519110006,0,1004.41,35.3,42,21887.83,116.47
20240519111006,0,1004.36,36.47,40.23,27944.33,197.7
20240519112006,0,1004.38,38.01,36.24,29057.67,211.78
20240519113006,0,1004.24,38.12,35.52,26258.42,182.9
20240519114006,0.02,1004.17,37.4,36.46,27666.83,213.57
20240519115006,0,1004.11,37.85,35.74,29761,219.76
20240519120006,0,1004.12,37.17,36.44,20298.5,100.12
20240519121006,0.03,1004.16,35.91,38.52,18632.67,81.32
20240519122006,0,1004.07,34.88,40.96,15193.83,56.76
20240519123006,0,1003.98,34.01,43.14,15472.25,58.62
20240519124006,0.03,1003.98,33.26,46.66,17920.25,79.06
20240519125006,0.02,1003.87,31.74,56.29,20431,98.88
20240519130006,0,1003.84,30.93,62.81,19561.17,97.48
20240519131006,0,1003.78,31.04,63.6,19239,92.54
20240519132006,0,1003.74,31.55,61.9,22376.92,122.51
20240519133006,0,1003.72,32.43,58.52,22221.16,124.78
20240519134006,0,1003.58,32.65,57.64,19626.33,99.11
20240519135006,0,1003.53,31.85,60.4,20597.08,111.36
20240519140006,0,1003.41,32.42,59.24,25113.42,179.98
20240519141006,0,1003.29,33.38,55.87,29572.58,240.56
20240519142006,0,1003.28,34.74,51.25,28520.75,221.78
20240519143006,0,1003.14,36.07,46.6,28858.58,232.16
20240519144006,0,1003.04,36.21,44.16,26894.33,205.89
20240519145006,0,1002.98,37.15,40.25,31110.92,289.4
20240519150006,0,1002.84,38.11,36.66,32008.17,310.04
20240519151006,0,1002.88,37.34,38.2,26043.42,180.31
20240519152006,0,1002.89,37,39.08,25392.92,187.27
20240519153006,0,1002.85,36.96,39.9,26671.67,213.62
20240519154006,0,1002.76,38.54,37.53,35115.25,416.62
20240519155006,0,1002.76,40.39,32.99,30385.25,299.22
20240519160006,0.08,1002.66,39.41,33.47,22045,142.47
20240519161006,0.36,1002.51,35.61,39.04,15301.92,71.69
20240519162006,0.18,1002.62,34.02,42.31,16243,76.28
20240519163006,0.29,1002.76,32.97,44.7,13127.08,43.93
20240519164006,0.06,1002.89,31.94,47.6,9159.08,21.66
20240519165006,0.22,1002.99,31.37,48.95,8659.33,19.71
20240520070006,0.08,1004.43,29.7,61.89,18612,77.24
20240520071006,0.06,1004.45,29.82,61.66,16098.92,58.38
20240520072006,0,1004.49,30.27,60.39,17512.17,68.05
20240520073006,0.02,1004.53,30.72,58.46,16930.08,67.28
20240520074006,0.02,1004.55,31.17,56.84,20131.67,93.29
20240520075006,0.03,1004.54,32.03,53.98,25993.92,147.82
20240520080006,0.15,1004.62,33.35,49.64,28571.58,172.46
20240520081006,0.13,1004.68,34.4,47.01,30412.33,192.48
20240520082006,0.16,1004.75,35.62,43.45,39933.68,275.82
20240520083006,0.06,1004.85,37.54,38.78,41893.71,305.38
20240520084006,0.09,1004.78,39.83,34.15,48673.75,412.51
20240520085006,0.1,1004.96,41.44,30.59,50250.87,433.83
