Serial,WindSpeed(m/s),Pressure(hpa),Temperature(°C),Humidity(%),Sunlight(Lux),Power(mW)
20240308070009,0.15,1016.5,17.56,76.29,672.33,0.15
20240308071009,0.17,1016.65,17.64,75.64,676.75,0.14
20240308072009,0,1016.78,17.86,76.36,802.25,0.19
20240308073009,0,1016.96,17.98,75.75,918.33,0.25
20240308074009,0.3,1017.02,17.97,74.48,1242.75,0.39
20240308075009,0.42,1017.1,17.63,74.07,1518,0.53
20240308080009,0.03,1017.19,17.74,74.27,1704.17,0.65
20240308081009,0.1,1017.32,17.85,74.13,1767.83,0.69
20240308082009,0.34,1017.43,17.8,70.67,2087.17,0.92
20240308083009,0.38,1017.52,17.97,68.17,2503.66,1.29
20240308084009,0.1,1017.65,18.12,66.32,2887.83,1.72
20240308085009,0,1017.75,18.27,65.35,2980.75,1.86
20240308090009,0.5,1017.78,18.25,62.6,4137.83,3.5
20240308091009,0.34,1017.85,18.64,61.3,5334.5,5.54
20240308092009,0,1017.94,18.81,60.53,5403.25,5.67
20240308093009,0,1017.98,19.07,61.3,5470.17,5.67
20240308094009,0,1018.02,19.02,60.9,3908.42,3.02
20240308095009,0,1018.06,18.97,60.76,4122.83,3.3
20240308100009,0,1018.12,18.98,59.91,3715.67,2.68
20240308101009,0.16,1018.1,18.87,57.71,4704.42,4.16
20240308102009,0.11,1018,18.76,57.92,4439,3.8
20240308103009,0.27,1017.89,19.01,56.76,4744.92,4.37
20240308104009,0.33,1017.86,18.81,55.34,4757.42,4.32
20240308105009,0.5,1017.7,18.74,55.29,4301.92,3.77
20240308110009,0.75,1017.55,18.37,55.56,4752.16,4.47
20240308111009,0.19,1017.54,18.9,57.91,6490,8.09
20240308112009,0.03,1017.37,19.19,53.93,6832.92,8.66
20240308113009,0.22,1017.22,19.26,54.2,6380.25,7.68
20240308114009,0.02,1017.1,19.17,54.91,5132.17,5.13
20240308115009,0.11,1016.95,19.34,56.19,6184.58,7.14
20240308120009,0,1016.83,19.3,56.54,5143.83,5.06
20240308121009,0,1016.73,19.11,59.18,3867.67,2.95
20240308122009,0,1016.66,18.99,61.02,3967.25,3.01
20240308123009,0,1016.52,19.04,60.92,3016.58,1.78
20240308124009,0,1016.43,18.85,60.2,2386.42,1.11
20240308125009,0,1016.32,18.71,59.65,2276.08,1.01
20240308130009,0,1016.21,18.72,60.68,2591.75,1.28
20240308131009,0,1016.1,18.8,61.38,2834.58,1.54
20240308132009,0,1016,18.86,61.07,2860.83,1.56
20240308133009,0,1015.91,18.81,61.25,2919.25,1.66
20240308134009,0,1015.88,18.94,60.94,2988.75,1.69
20240308135009,0,1015.82,18.97,60.43,3034.25,1.79
20240308140009,0,1015.79,18.88,60.02,2275.08,1.04
20240308141009,0.04,1015.8,18.7,59.63,2011.92,0.81
20240308142009,0.07,1015.8,18.37,62.28,1963.92,0.77
20240308143009,0.62,1015.77,18.07,62.94,1708.75,0.58
20240308144009,1.65,1015.75,17.53,60.78,1696.25,0.6
20240308145009,0.16,1015.86,17.55,62.03,1929.08,0.76
20240308150009,0.06,1015.86,17.99,61.22,2098.83,0.9
20240308151009,0.03,1015.89,18.14,60.82,2449.58,1.24
20240308152009,0.02,1015.91,18.22,60.85,2257.33,1.06
20240308153009,0,1015.96,18.24,60.8,1790.58,0.7
20240308154009,0.02,1016.01,18.21,61.66,1465.75,0.5
20240308155009,0,1016.07,18.16,62.96,1270.05,0.38
20240308160009,0.03,1016.08,18.14,62.73,1037.42,0.27
20240308161009,0.09,1016.18,18.07,62.38,990.75,0.25
20240308162009,0.14,1016.25,17.98,61.1,866.75,0.2
20240308163009,0.1,1016.24,17.88,60.25,760,0.17
20240308164009,0.02,1016.3,17.83,60.15,608.25,0.11
20240308165009,0.04,1016.36,17.78,60.95,502.33,0.09
20240309070009,0.03,1018.92,16.59,65.92,1643.75,0.7
20240309071009,0.05,1019.2,16.72,66.11,1743.42,0.75
20240309072009,0,1019.78,16.86,65.97,1818.75,0.83
20240309073009,0,1020.07,16.94,64.71,2521.42,1.46
20240309074009,0.03,1020.2,17.11,63.3,3457.34,2.61
20240309075009,0.1,1020.23,17.24,63.14,5236.08,5.97
20240309080009,0.07,1020.22,17.53,62.82,5666.5,6.79
20240309081009,0.02,1020.32,17.64,62.57,4999.58,5.06
20240309082009,0,1020.45,17.8,62.43,6971.83,9.92
20240309083009,0.1,1020.46,18.16,61.02,9880.58,19.05
20240309084009,0,1020.64,18.78,59.81,9804,19.31
20240309085009,0.22,1020.47,18.81,57.36,10721.5,22.25
