Serial,WindSpeed(m/s),Pressure(hpa),Temperature(°C),Humidity(%),Sunlight(Lux),Power(mW)
20240528070015,0,1002.35,28.91,100,5440.5,8.76
20240528071015,0,1002.36,28.84,100,5257.75,8.24
20240528072015,0,1002.57,28.22,100,2261.92,1.41
20240528073015,0,1002.69,27.86,100,1555.42,0.63
20240528074015,0.02,1003.02,27.64,100,1325.83,0.46
20240528075015,0,1003.32,27.46,100,1059.79,0.28
20240528080015,0.02,1003.54,26.28,100,1060.75,0.26
20240528081015,0,1003.54,25.74,100,1174,0.29
20240528082015,0.03,1003.38,25.86,100,1153.33,0.31
20240528083015,0.07,1003.66,25.75,100,1117.13,0.32
20240528084015,0.06,1003.77,25.57,100,1085.67,0.3
20240528085015,0,1003.74,25.43,100,1443.92,0.44
20240528090015,0.08,1003.79,25.51,100,1480.52,0.43
20240528091015,0.06,1003.71,25.49,100,811.25,0.15
20240528092015,0.04,1004.1,25.18,100,805.67,0.14
20240528093015,0.16,1004.54,24.87,100,995.42,0.2
20240528094015,0.04,1004.64,24.71,100,1048,0.19
20240528095015,0.06,1004.6,24.48,100,1014.75,0.18
20240528100015,0,1004.72,24.26,100,1181.25,0.23
20240528101015,0.13,1004.86,24.01,100,1478.08,0.39
20240528102015,0.07,1005.22,23.97,100,1489.26,0.42
20240528103015,0.1,1005.37,23.89,100,1659.83,0.54
20240528104015,0.16,1005.38,23.75,100,1863.5,0.72
20240528105015,0.07,1005.25,23.58,100,2553.33,1.53
20240528110015,0.13,1005.28,23.53,100,4471.94,5.75
20240528111015,0.08,1005.06,23.62,100,6769.81,13.46
20240528112015,0.16,1005.21,23.72,100,5570.75,9.54
20240528113015,0,1005.21,23.9,100,3724.17,4.32
20240528114015,0.1,1004.96,23.77,100,4434.33,5.98
20240528115015,0.09,1004.89,24,100,7854.17,19.95
20240528120015,0.07,1004.95,24.6,100,13686.92,56.61
20240528121015,0.09,1004.91,25.28,100,13192.36,52.77
20240528122015,0.03,1004.79,25.58,100,14343.25,62.8
20240528123015,0.08,1004.68,25.63,100,15210.42,69.02
20240528124015,0.02,1004.43,25.59,100,13440.25,58.35
20240528125015,0.03,1004.34,25.88,100,11441.92,40.12
20240528130015,0,1004.16,26.13,100,14974.67,67.76
20240528131015,0.09,1004,26.31,100,12964.33,50.41
20240528132015,0.05,1003.93,26.06,100,11805.58,40.94
20240528133015,0.1,1003.9,25.88,100,12411.33,45.71
20240528134015,0.08,1004.03,26.48,100,15883.75,75.63
20240528135015,0.21,1004.2,25.99,100,11182,37.83
20240528140015,0.08,1004.47,25.57,100,9171.3,24.49
20240528141015,0.1,1004.59,25.26,100,6341.33,12.31
20240528142015,0.11,1004.65,25.11,100,6298.92,12.03
20240528143015,0.14,1004.86,24.92,100,5679.42,9.49
20240528144015,0.13,1005.08,24.99,100,6016,10.78
20240528145015,0.08,1005.24,24.74,100,3662.83,3.96
20240528150015,0.13,1005.48,24.66,100,3978.42,4.6
20240528151015,0.1,1005.62,24.85,100,5105.36,7.55
20240528152015,0.07,1005.58,24.9,100,3858.25,4.32
20240528153015,0.2,1005.57,24.78,100,4060.08,4.79
20240528154015,0.11,1005.49,24.86,100,4148.92,5.14
20240528155015,0.11,1005.49,24.89,100,3954.54,4.68
20240528160015,0.06,1005.4,24.78,100,4387.75,5.88
20240528161015,0.17,1005.34,24.98,100,5235.08,8.21
20240528162015,0.15,1005.38,24.78,100,3102.33,2.88
20240528163015,0.14,1005.41,24.68,100,2556.83,1.99
20240528164015,0.15,1005.46,24.58,100,2401.25,1.78
20240528165015,0.16,1005.42,24.64,100,2552.42,2.01
20240529070015,0,1010.2,29.62,100,14698.5,69.81
20240529071015,0,1010.24,31.7,98.78,19103.33,118.24
20240529072015,0,1010.23,35.31,83.58,34678.25,470.05
20240529073015,0,1010.23,37.4,58.69,23805.83,176.89
20240529074015,0,1010.24,34.89,65.56,20339.33,125.46
20240529075015,0,1010.33,33.26,65.59,19027.25,111.04
20240529080015,0,1010.38,32.98,66.79,19697.67,118.43
20240529081015,0,1010.38,32.62,62.74,21245.58,135.78
20240529082015,0,1010.33,33.25,61.68,26830.67,215.1
20240529083015,0,1010.29,34.42,59.83,37637.41,432.91
20240529084015,0,1010.27,39.32,48.51,60451.18,1058.62
20240529085015,0,1010.18,45.27,34.54,78781.29,1505.97
20240529090015,0.02,1010.02,48.52,28.27,85776.42,1620.48
20240529091015,0.02,1009.81,47.32,27.75,83025.51,1550.31
20240529092015,0.02,1009.63,46.08,29.7,86011.73,1537.05
20240529093015,0.06,1009.57,42.91,32.86,66635.67,1135.14
20240529094015,0,1009.56,40.75,37.26,69966.36,1247.41
20240529095015,0.04,1009.45,40.19,39.75,85184.99,1530.84
20240529100015,0.08,1009.47,44.61,31.71,92487.31,1591.47
20240529101015,0.03,1009.43,40.63,38,46861.42,602.23
20240529102015,0.02,1009.44,37.66,44.75,40785.01,463.41
20240529103015,0.02,1009.38,34.39,54.58,31015.08,271.51
20240529104015,0.04,1009.33,34.6,55.13,32735.5,301.9
20240529105015,0.03,1009.3,34.3,56.31,30049.17,254
20240529110015,0.06,1009.17,36.23,53.13,56845.94,870.22
20240529111015,0.04,1009,37.09,50.64,50442.03,716.5
20240529112015,0.08,1008.87,36.22,54.44,49060.05,676.24
20240529113015,0.06,1008.88,38.03,49.45,65780.36,1138.76
20240529114015,0.08,1008.9,38.61,47.78,59034.93,967.55
20240529115015,0.08,1008.81,38.49,47.07,55670.98,884
20240529120015,0.07,1008.74,39.63,44.94,73346.64,1383.13
20240529121015,0.04,1008.7,39.78,44.73,54235.9,853.04
20240529122015,0.04,1008.6,36.88,50.19,39082.71,422.63
20240529123015,0.08,1008.41,36.02,54.26,29350.33,244.61
20240529124015,0.02,1008.37,36.89,52.1,54891.83,901.56
20240529125015,0.04,1008.31,38.8,47.48,62723.34,1120.47
20240529130015,0.03,1008.22,40.05,44.56,54943.16,911.99
20240529131015,0.05,1008.16,41.16,41.34,51169.88,777.53
20240529132015,0.09,1008.04,37.69,48.56,37051.87,413.05
20240529133015,0.05,1007.93,37.63,49.98,39355.35,462.49
20240529134015,0.06,1007.9,36.95,51.45,28020.32,279.98
20240529135015,0.08,1007.86,34.88,58.02,14721.83,84.64
20240529140015,0.03,1007.9,32.16,70.22,13960.17,62.68
20240529141015,0.05,1007.92,30.54,79.86,13436.58,54.26
20240529142015,0.05,1007.92,31.76,75.43,21116.85,131.78
20240529143015,0.03,1007.87,32.29,72.97,20922.25,127.87
20240529144015,0.02,1007.87,32.95,69.85,21887.08,142.72
20240529145015,0,1007.85,32.86,70.48,20641.5,127.29
20240529150015,0.04,1007.78,32.2,73.29,17985.92,95.7
20240529151015,0.03,1007.75,32.05,73.46,17044.42,85.85
20240529152015,0.06,1007.67,30.89,79.53,15325.17,68.38
20240529153015,0.02,1007.68,30.73,82.88,12584.58,46.14
20240529154015,0,1007.66,30.56,84.98,12269.17,43.83
20240529155015,0.02,1007.73,30.73,84.31,10769.17,33.79
20240529160015,0,1007.65,30.15,86.39,9417.75,26.1
20240529161015,0.03,1007.7,28.84,98.23,8773.17,22.56
20240529162015,0,1007.75,29.11,99.29,8138.92,19.42
20240529163015,0,1007.84,28.92,99.23,6400.25,12.13
20240529164015,0.05,1007.86,28.4,100,5511.5,9.03
20240529165015,0.03,1007.92,28.11,100,4289.08,5.5
20240530070015,0,1009.77,26.7,100,7696.2,17.35
20240530071015,0,1009.72,27.15,100,8273.67,20.62
20240530072015,0,1009.73,28,100,9344.33,26.66
20240530073015,0,1009.67,28.12,100,12670.92,46.8
20240530074015,0,1009.51,29.49,100,16283.17,77.16
20240530075015,0,1009.36,31.28,100,20729,125.35
20240530080015,0,1009.2,36.67,97.74,54361.97,902.32
20240530081015,0,1009.04,41.34,78.56,61574.59,1075.81
20240530082015,0,1008.97,43.39,57.54,67235.65,1179.15
20240530083015,0,1008.91,46.26,51,72616.04,1333.86
20240530084015,0.02,1008.73,47.91,39.74,87067.22,1607.93
20240530085015,0,1008.73,47.95,38.27,89553.01,1617.11
