Serial,WindSpeed(m/s),Pressure(hpa),Temperature(°C),Humidity(%),Sunlight(Lux),Power(mW)
20240628070016,0,1011.86,41.97,61.15,52485.1,792.41
20240628071016,0,1011.88,44.62,49.29,59123.65,879.77
20240628072016,0,1011.89,45.66,42.47,70467.15,1075.22
20240628073016,0,1011.85,45.76,41.13,77577.2,1144.71
20240628074016,0,1011.86,45.48,41.43,73215.11,964.76
20240628075016,0,1011.9,44.18,42.96,74189.55,947.87
20240628080016,0,1011.93,43.14,45.01,75739.54,961.2
20240628081016,0,1011.9,43.41,45.1,83704.91,1107.55
20240628082016,0,1011.89,45.05,43.67,76162.16,941.9
20240628083016,0,1011.94,44.21,44.81,52981.93,495.98
20240628084016,0,1011.95,41.14,50.42,49285.23,437.54
20240628085016,0,1011.97,40.76,53,56973.15,575.86
20240628090016,0,1011.92,41.75,51.29,65709.2,757.89
20240628091016,0,1011.92,42.53,48.24,71798.99,904.36
20240628092016,0,1011.91,42.13,47.82,81907.13,1121.41
20240628093016,0,1011.83,43.36,44.86,92946.77,1334.09
20240628094016,0,1011.75,42.52,46.76,79785.92,1074.08
20240628095016,0,1011.7,42.4,46.22,69185.62,846.85
20240628100016,0,1011.66,40.5,51.56,59600.55,655.07
20240628101016,0,1011.52,43.82,47.01,113199.7,1639.35
20240628102016,0,1011.39,46.15,40.35,117448.24,1708.77
20240628103016,0,1011.32,44.73,43.18,109184.41,1588.94
20240628104016,0,1011.2,43.26,48.46,104590.16,1592.5
20240628105016,0,1011.18,43.6,48.64,107018.45,1670.81
20240628110016,0,1011.13,43.21,50.73,102130.42,1627
20240628111016,0,1011,43.22,51.06,104618.73,1678.24
20240628112016,0,1010.87,43.05,51.31,96367.66,1567.58
20240628113016,0,1010.81,41.31,57.83,93211.99,1539.65
20240628114016,0,1010.68,41.29,59.71,88147.5,1426.73
20240628115016,0,1010.5,41.28,59.9,87123.46,1407.82
20240628120016,0,1010.42,41.54,59.67,89770.62,1465.08
20240628121016,0,1010.4,41.04,61.8,84780.34,1377.66
20240628122016,0,1010.23,39.36,71.09,55218.27,722.16
20240628123016,0,1010.16,35.86,94.72,8312.75,16.27
20240628124016,0,1010.04,34.66,100,7369.5,12.6
20240628125016,0,1009.98,34.16,100,6695.42,10.2
20240628130016,0,1009.89,33.89,100,5960.42,8.03
20240628131016,0,1009.83,33.88,100,5449.66,6.68
20240628132016,0,1009.71,33.79,100,5293.08,6.24
20240628133016,0,1009.67,33.53,100,5671,7.24
20240628134016,0,1009.52,33.33,100,6234.75,8.74
20240628135016,0,1009.37,33.46,100,6559,9.72
20240628140016,0,1009.23,33.66,100,6611.92,9.77
20240628141016,0,1009.13,33.6,100,6553.33,9.75
20240628142016,0,1008.83,33.65,100,7202.42,11.92
20240628143016,0,1008.64,33.86,100,8703,16.72
20240628144016,0,1008.64,33.77,100,8514,15.5
20240628145016,0,1008.81,33.52,100,9185.42,17.7
20240628150016,0,1008.78,33.26,100,7876.42,13.07
20240628151016,0,1008.85,33.02,100,6714,9.83
20240628152016,0,1008.88,32.9,100,7139.83,11.17
20240628153016,0,1008.85,33.06,100,9449.08,19.11
20240628154016,0,1008.87,32.95,100,6755.83,10
20240628155016,0,1008.85,32.73,100,4630.42,4.76
20240628160016,0,1008.97,32.58,100,3926.58,3.62
20240628161016,0,1009.04,32.51,100,4264.25,3.98
20240628162016,0,1009.06,32.63,100,3424.08,2.6
20240628163016,0,1009.19,32.64,100,1711.83,0.71
20240628164016,0,1009.27,32.66,100,1030.46,0.25
20240628165016,0,1009.42,32.01,100,917.42,0.2
20240629070016,0,1010.25,42.69,55.42,59863.25,1046.61
20240629071016,0,1010.46,42.37,55.02,67450.01,1125.36
20240629072016,0,1010.24,45.05,50.82,76142.4,1194.23
20240629073016,0,1010.09,48.7,41.23,85942.37,1269.79
20240629074016,0,1010.07,49.26,37.24,94611.04,1323.32
20240629075016,0,1010.04,48.38,38.02,101013.48,1380.66
20240629080016,0,1009.99,46.9,38.91,106133.49,1453.61
20240629081016,0,1009.93,45.02,41.78,110283.38,1508.09
20240629082016,0,1009.85,45.14,41.14,112323.73,1535.68
20240629083016,0,1009.8,46.29,40.51,114172.17,1543.07
20240629084016,0,1009.73,46.75,37.53,115147.7,1554.32
20240629085016,0,1009.71,47.1,37.04,117440.87,1575.56
