Serial,WindSpeed(m/s),Pressure(hpa),Temperature(°C),Humidity(%),Sunlight(Lux),Power(mW)
20240615070008,0,999.61,28.41,100,4535.5,4.86
20240615071008,0,999.68,28.83,100,5042.42,6.04
20240615072008,0,999.76,28.99,100,5251.42,6.59
20240615073008,0,999.84,29.5,99.4,5204.33,6.53
20240615074008,0,999.98,29.86,96.89,5447.08,7.46
20240615075008,0,1000.05,30.33,92.17,5848.67,8.7
20240615080008,0,1000.19,30.71,89.93,6406.83,10.36
20240615081008,0,1000.28,30.9,87.95,6219.75,9.72
20240615082008,0,1000.27,31.39,85.15,7235.92,14.04
20240615083008,0,1000.32,31.76,81.9,7308.17,14.57
20240615084008,0,1000.3,32.12,78.02,6754.58,12.58
20240615085008,0,1000.32,31.9,78.17,6244.08,10.69
20240615090008,0,1000.33,31.64,81.65,5793.5,9.5
20240615091008,0,1000.45,31.82,82.68,5892.08,9.74
20240615092008,0,1000.41,32,84.79,6370.25,11.24
20240615093008,0,1000.39,32.22,83.45,7507.42,15.29
20240615094008,0,1000.31,32.43,81.2,8449.75,19.23
20240615095008,0,1000.26,32.68,78.12,8735.58,20.23
20240615100008,0,1000.29,32.82,78.36,9120.58,21.01
20240615101008,0,1000.29,32.99,78.1,10071.75,27.29
20240615102008,0,1000.27,33.3,76.52,11286.08,33.57
20240615103008,0,1000.25,33.6,73.7,12619.67,41.1
20240615104008,0,1000.23,33.66,71.21,14101,49.56
20240615105008,0,1000.24,33.93,72.26,14472.92,51.82
20240615110008,0,1000.18,34.12,70.93,14517.75,51.78
20240615111008,0,1000.08,34.26,70.45,13816.33,46.01
20240615112008,0,999.95,34.16,71.23,11728.58,33.89
20240615113008,0,999.89,33.87,74.57,9567,22.26
20240615114008,0,999.84,33.56,76.83,8029.92,16.04
20240615115008,0,999.86,33.3,79.18,7508.58,15.12
20240615120008,0,999.81,33.19,77.68,7709.33,15.15
20240615121008,0,999.78,33.53,75.44,8427.75,18.23
20240615122008,0,999.72,34.23,73.66,9730.58,36.83
20240615123008,0,999.69,35.43,69.11,10100,1012.63
20240615124008,0,999.67,38.08,58.64,18322.5,1338.53
20240615125008,0,999.7,42.26,45.82,79435.53,1456.02
20240615130008,0,999.74,44.41,38.6,78491.27,1307.54
20240615131008,0,999.7,44.08,37.67,73800.89,1198.41
20240615132008,0,999.69,44.01,37.67,60471.31,850.17
20240615133008,0,999.61,42.62,40.03,54709.81,710.27
20240615134008,0,999.59,43.3,39.16,64987.03,961.29
20240615135008,0,999.59,44.44,37.07,64013.31,913.34
20240615140008,0,999.57,43.79,37.59,44062.48,496.26
20240615141008,0,999.56,43.91,36.93,68685.91,1213.57
20240615142008,0,999.54,43.13,37.87,13865.53,185.08
20240615143008,0,999.48,37.85,51.34,9411.08,23.22
20240615144008,0,999.43,36.19,58.58,8966.33,20.81
20240615145008,0,999.38,35.27,61.91,8573.5,18.99
20240615150008,0,999.34,35.16,63,8079.92,17.08
20240615151008,0,999.25,35.08,63.42,7517.08,14.66
20240615152008,0,999.22,34.76,64.22,7075.17,13.05
20240615153008,0,999.22,34.31,65.63,6717.08,11.62
20240615154008,0,999.26,34.25,65.69,6423.83,10.32
20240615155008,0,999.36,34.18,65.11,6210.92,9.35
20240615160008,0,999.46,33.99,65.46,5882.33,8.2
20240615161008,0,999.54,33.81,66.18,5533.17,7.16
20240615162008,0,999.59,33.74,66.37,4928.15,5.43
20240615163008,0,999.55,33.22,68.39,3422.75,2.43
20240615164008,0,999.6,33.12,68.63,4242.08,3.9
20240615165008,0,999.61,33,70.13,3103.33,1.9
20240616070008,0,1003.47,29.63,99.89,7997.83,15.84
20240616071008,0,1003.55,30.33,96.64,8945.58,20.06
20240616072008,0,1003.75,30.77,92.01,9048.75,20.9
20240616073008,0,1003.84,30.85,88.85,8562.42,18.92
20240616074008,0,1003.81,31.02,87.9,7415,13.53
20240616075008,0,1003.9,30.87,89.4,6442.75,9.88
20240616080008,0,1004,30.7,90.31,6276.25,9.04
20240616081008,0,1004.02,30.83,90.29,7311.33,12.4
20240616082008,0,1004.11,31.01,87.95,8917,18.18
20240616083008,0,1004.19,31.2,86.93,9327.5,19.99
20240616084008,0,1004.24,31.32,85.89,9376.17,20.49
20240616085008,0,1004.2,31.54,84.73,10665.33,28.6
20240616090008,0,1004.21,31.9,83.75,11138.83,30.45
20240616091008,0,1004.25,32.51,81.62,10935.67,28.85
20240616092008,0,1004.18,32.85,79.68,9428.92,21.82
20240616093008,0,1004.14,33.15,78.13,9259.08,22.9
20240616094008,0,1004.05,33.39,75.15,9314.08,23.26
20240616095008,0,1004.11,33.65,73.9,8027.58,15.31
20240616100008,0,1004.08,33.46,74.72,6963.33,11.67
20240616101008,0,1004.06,33.61,74.18,7778.5,15.67
20240616102008,0,1004.06,34.2,73.11,9630.25,24.02
20240616103008,0,1004.06,34.22,71.87,7899.33,15.87
20240616104008,0,1004.08,34.39,71.97,9235.42,22.16
20240616105008,0,1004.04,34.48,72.89,12740.58,41.79
20240616110008,0,1003.83,35.11,69.74,15746.5,61.34
20240616111008,0,1003.75,35.49,67.65,14577.67,51.17
20240616112008,0,1003.64,35.02,68.82,14615.58,49.12
20240616113008,0,1003.58,35.2,68.21,16856,64.17
20240616114008,0,1003.44,35.28,67.11,17504.83,69.5
20240616115008,0,1003.26,35.16,68.56,17635.58,71.96
20240616120008,0,1003.11,34.89,69.13,19558.58,89.89
20240616121008,0,1002.93,34.95,68.38,19848.83,91.54
20240616122008,0,1002.82,35.11,67.73,18235.33,77.43
20240616123008,0,1002.63,34.89,68.17,16130.92,60.21
20240616124008,0,1002.48,35.55,66.4,25275.92,601.43
20240616125008,0,1002.36,38.51,54.94,60123.43,1018.16
20240616130008,0,1002.28,39.57,49.67,57740.24,803.36
20240616131008,0,1002.07,39.74,48.34,55150.22,733.14
20240616132008,0,1001.91,40.29,46.51,56880.97,772.6
20240616133008,0,1001.86,40.97,44.64,52785.36,673.45
20240616134008,0,1001.78,38.19,50.97,17413.39,76.09
20240616135008,0,1001.75,35.72,60.19,17232.75,69.1
20240616140008,0,1001.75,35.56,61.77,19228.42,92.43
20240616141008,0,1001.69,35.95,60.16,20740.25,104.79
20240616142008,0,1001.76,36.09,59.31,16772.92,64.27
20240616143008,0,1001.73,35.7,60.13,13366.08,40.05
20240616144008,0,1001.71,35.25,60.88,11345.08,29.15
20240616145008,0,1001.54,35.11,63.22,15847.75,56.57
20240616150008,0,1001.4,35.03,62.66,16527.92,62.41
20240616151008,0,1001.22,35.21,62.95,17069.33,67.78
20240616152008,0,1001.19,35.46,61.81,11446.83,29.19
20240616153008,0,1001.18,34.41,67.5,7987.92,14.28
20240616154008,0,1001.25,34.29,71.32,6755.75,10.34
20240616155008,0,1001.21,34.25,74.31,6483.5,9.65
20240616160008,0,1001.2,34.18,76.68,5114.25,5.94
20240616161008,0,1001.43,33.74,78.61,3463.25,2.64
20240616162008,0,1001.55,33.37,80.52,3669.08,2.99
20240616163008,0,1001.47,33.26,78.77,4085.42,3.72
20240616164008,0,1001.56,33.29,78.67,3553.25,2.78
20240616165008,0,1001.59,33.21,79.75,3525.25,2.8
20240617070008,0,1002.92,30.98,100,4649.58,5.05
20240617071008,0,1002.97,31.44,99.85,5725,7.59
20240617072008,0,1003.13,31.77,97.73,6042.33,8.26
20240617073008,0,1003.24,31.85,96.08,6347.17,9.23
20240617074008,0,1003.22,31.91,93.29,7064.83,11.63
20240617075008,0,1003.31,32.26,91.02,7475.75,12.79
20240617080008,0,1003.39,32.46,89.26,6862.17,10.75
20240617081008,0,1003.45,32.27,90.5,6265.42,8.62
20240617082008,0,1003.44,32.11,91.9,6093.75,8.28
20240617083008,0,1003.47,32.28,91.29,6320.25,8.99
