Serial,WindSpeed(m/s),Pressure(hpa),Temperature(°C),Humidity(%),Sunlight(Lux),Power(mW)
20240714070007,0,1004.76,36.74,45.91,34601.58,250.01
20240714071007,0,1004.78,38.5,40.91,39916.39,325.17
20240714072007,0,1004.88,39.68,36.96,43299.3,382.4
20240714073007,0,1004.99,39.94,36.11,45518.08,422.97
20240714074007,0,1004.96,41.12,34.21,51074.55,527.1
20240714075007,0,1005.04,43.14,30.22,56446.13,626.32
20240714080007,0,1005.1,43.9,28.07,60175,710.89
20240714081007,0,1005.09,45.27,25.15,63314.86,795.48
20240714082007,0,1005.1,46.56,22.77,67960.69,900.67
20240714083007,0.02,1005.11,47.34,21.81,71183.56,977.55
20240714084007,0,1005.11,47.49,21.79,73927.57,1030.23
20240714085007,0,1005.08,48.33,20.51,81244.62,1191.76
20240714090007,0,1005.01,49.78,18.61,84220.07,1275.47
20240714091007,0,1005.01,50.94,16.8,84900.9,1258.4
20240714092007,0,1004.99,51.92,15.52,94306.29,1417.74
20240714093007,0,1004.91,52.8,14.61,97372.83,1461.1
20240714094007,0,1004.86,54.02,13.15,101380.22,1519.38
20240714095007,0,1004.87,54.86,12.62,107262.83,1568.51
20240714100007,0,1004.88,55.03,12.72,110301.7,1588.51
20240714101007,0,1004.87,55.35,12.73,111042.02,1592.43
20240714102007,0,1004.9,54.88,13.78,110974.63,1603.58
20240714103007,0,1004.89,53.9,15.37,109640.28,1636.49
20240714104007,0,1004.82,53.54,15.82,107354.83,1591.67
20240714105007,0,1004.77,53.88,14.96,112650.58,1714.21
20240714110007,0,1004.76,53.75,14.57,107629.57,1663.54
20240714111007,0,1004.67,53.7,15.11,106521.08,1685.72
20240714112007,0,1004.55,53.42,15.2,103702.5,1697.88
20240714113007,0,1004.37,54.26,14.13,100766.05,1692.83
20240714114007,0,1004.26,54.73,13.87,99832.21,1665.8
20240714115007,0,1004.15,54.14,14.63,101409.69,1620.53
20240714120007,0,1004.06,54.27,14.33,113307.52,1665.74
20240714121007,0,1003.95,53.9,14.89,117758.2,1658.4
20240714122007,0,1003.85,52.87,15.56,117758.2,1648.84
20240714123007,0,1003.91,51.8,16.15,117758.2,1642.33
20240714124007,0,1003.91,50.63,17.01,117758.2,1606.72
20240714125007,0,1003.87,51.46,16.02,117531.61,1497.42
20240714130007,0,1003.79,52.23,15.31,117758.2,1481.21
20240714131007,0,1003.79,52.54,14.9,110621.19,1386.47
20240714132007,0,1003.79,52.62,14.73,96909.06,1247.63
20240714133007,0,1003.66,52.23,15.06,90854.85,1243.5
20240714134007,0,1003.64,51.28,15.97,80324.45,1158.41
20240714135007,0,1003.63,51.6,15.64,70321.78,1086.11
20240714140007,0,1003.68,51.62,15.83,61029.6,984.42
20240714141007,0,1003.68,51,16.87,47882.98,675.17
20240714142007,0,1003.46,50.53,18.12,53127.48,936.76
20240714143007,0,1003.38,50.72,17.61,47171.56,730.5
20240714144007,0,1003.39,49.42,19.45,39315.97,491.46
20240714145007,0,1003.43,46.93,22.93,34937.81,278.44
20240714150007,0,1003.37,45.18,26.11,31618.59,218.88
20240714151007,0,1003.3,44.74,27.52,30358.25,289.27
20240714152007,0,1003.32,44,29,20567.08,99.84
20240714153007,0,1003.26,41.66,33.51,21013.08,107.6
