Serial,WindSpeed(m/s),Pressure(hpa),Temperature(°C),Humidity(%),Sunlight(Lux),Power(mW)
20240101070001,0,1016.73,17.5,86.99,470.83,0.08
20240101071001,0,1016.77,17.57,86.97,659.67,0.14
20240101072001,0.68,1016.92,17.63,86.18,889.67,0.25
20240101073001,0.61,1016.99,17.74,85.41,1263.83,0.45
20240101074001,0,1017.09,17.9,85.41,2136.83,1.13
20240101075001,0,1017.27,18.13,85.19,2598,1.6
20240101080001,0,1017.42,18.29,84.38,2160.17,1.18
20240101081001,0,1017.44,18.3,83.79,2424.67,1.44
20240101082001,0,1017.55,18.28,84.88,3204.5,2.37
20240101083001,1.83,1017.64,18.23,85.92,4376.42,4.18
20240101084001,0.38,1017.75,18.48,85.48,6681.33,9.76
20240101085001,1.43,1017.91,18.77,87.74,6693.83,11.86
20240101090001,1.92,1017.91,18.33,92.29,8395.25,17.37
20240101091001,0.09,1017.96,18.02,97.37,7046.5,12.61
20240101092001,0.02,1018.16,17.73,99.93,5919.58,8.81
20240101093001,0.02,1018.2,17.9,100,8838.92,17.56
20240101094001,0.04,1018.13,18.08,100,5774.67,7.51
20240101095001,0.02,1018.03,17.83,100,5437.75,7.03
20240101100001,0,1018.04,17.75,100,9312.75,19.71
20240101101001,0.04,1017.87,17.99,100,9500.67,20.35
20240101102001,0.02,1017.82,18.13,100,9711.58,20.43
20240101103001,0.01,1017.82,18.2,100,7952.5,14.01
20240101104001,0.58,1017.71,18.11,95.79,6422.5,9.33
20240101105001,0.03,1017.55,18.21,93.92,7941.42,13.53
20240101110001,0.2,1017.46,18.64,92.71,7700.92,13.2
20240101111001,0.35,1017.28,18.78,87.1,6558.92,9.47
20240101112001,0.25,1017.09,18.8,86.15,6868.25,10.26
20240101113001,0.17,1016.87,18.94,84.1,8485.08,15.88
20240101114001,0.06,1016.56,19.38,84.1,10389.83,22.82
20240101115001,0.15,1016.36,19.77,80.9,9784.75,20.51
20240101120001,0.43,1016.17,19.87,80.09,11379,27.05
20240101121001,0.97,1015.97,19.96,77.42,9266.17,18.22
20240101122001,0.4,1015.82,19.81,78,9845.92,20.46
20240101123001,1.27,1015.67,20.04,76.07,16415.58,55.61
20240101124001,0.75,1015.51,20.35,74.86,13374.75,37.65
20240101125001,1.37,1015.42,20.29,74.1,10362.5,23.23
20240101130001,0.39,1015.34,19.9,75.45,7872.25,13.66
20240101131001,0.14,1015.27,19.88,77.24,6294.5,8.64
20240101132001,0.32,1015.05,19.67,76.37,6342.5,8.51
20240101133001,0.04,1015,19.49,77.68,5682,6.83
20240101134001,0.11,1014.93,19.31,78.29,4557.08,4.3
20240101135001,0,1015,19.04,80.3,3202,2.37
