Serial,WindSpeed(m/s),Pressure(hpa),Temperature(°C),Humidity(%),Sunlight(Lux),Power(mW)
20240413070003,0,1007.57,26.54,91.16,7303.08,14.12
20240413071003,0,1007.66,26.92,89.55,9474.5,20.93
20240413072003,0,1007.79,27.23,88.23,13040,32.82
20240413073003,0,1007.77,28.39,83.92,20032.08,76.82
20240413074003,0,1007.79,31.5,71.68,34302.74,246.15
20240413075003,0,1007.86,34.75,59.44,38394.16,311.52
20240413080003,0,1007.99,35.62,56.76,46259.14,448.3
20240413081003,0,1008.04,38.05,49.56,53937.51,565.97
20240413082003,0,1008.02,38.7,45.49,43647.39,342.23
20240413083003,0,1008.06,38.4,45.11,53677.92,521.42
20240413084003,0,1008.12,43.13,35.78,68275.68,821.55
20240413085003,0,1008.16,44.61,33.23,68580.97,860.28
20240413090003,0,1008.22,43.85,33.93,59248.71,621.03
20240413091003,0,1008.18,40.42,39.54,41103.05,336.96
20240413092003,0,1008.23,38.84,42.98,43302.29,387.72
20240413093003,0,1008.17,39.55,42.16,47988.6,486.96
20240413094003,0,1008.08,39.92,40.97,41654.56,425.8
20240413095003,0,1008.04,38.4,44.03,47659.34,497.59
20240413100003,0,1008.02,41.86,37.97,88437.87,1340.45
20240413101003,0,1007.94,42.32,36.58,86963,1310.83
20240413102003,0,1007.81,42.66,36.3,50801.24,602.37
20240413103003,0.43,1007.75,39.8,42.16,53301.78,725.17
20240413104003,0.26,1007.72,36.62,49.86,35236.54,333.14
20240413105003,1.24,1007.61,38.64,44.84,89300.73,1502.65
20240413110003,0.52,1007.56,40.16,41.8,77644.76,1223.24
20240413111003,0.23,1007.5,42.65,36.96,101415.8,1780.03
20240413112003,0.23,1007.48,44.05,33.27,95642.8,1647.19
20240413113003,0.2,1007.37,41.49,38.1,54275.87,679.1
20240413114003,0.5,1007.3,38.37,44.56,41996.78,410.13
20240413115003,0.1,1007.18,38.05,46.17,51975.73,811.38
20240413120003,0.19,1007.05,38.2,46.03,47622.04,637.81
20240413121003,0.18,1006.9,37.69,47.48,38975.08,420.65
20240413122003,0.11,1006.71,36.84,49.75,35002.58,321.18
20240413123003,0.16,1006.5,38.02,46.88,51375.24,848.48
20240413124003,0.41,1006.36,38.72,45.17,54489.62,1051.02
20240413125003,0.42,1006.17,37.79,47.58,42874.12,574.27
20240413130003,0.22,1006.03,36.27,51.79,27906.25,218.64
20240413131003,0.03,1005.81,33.69,60.48,17730.75,80.56
20240413132003,0,1005.74,33.3,61.92,17795.42,77.61
20240413133003,0,1005.75,33.07,63.15,15984.58,64.81
20240413134003,0,1005.71,32.4,66.29,16252.92,68.46
20240413135003,0.05,1005.67,31.86,68.68,14420.25,55.19
20240413140003,0,1005.62,31.43,71.14,13337.5,48.26
20240413141003,0,1005.64,31.23,72.75,12566.5,40.55
20240413142003,0,1005.61,30.49,75.72,7734.42,17.17
20240413143003,0,1005.51,29.93,78.49,9440.33,25.67
20240413144003,0,1005.58,29.64,79.69,8433.92,18.11
20240413145003,0,1005.69,29.46,80.12,8242,17.52
20240413150003,0,1005.7,29.24,81.21,5587.83,9.76
20240413151003,0,1005.73,28.5,84.16,2830,2.4
20240413152003,0,1005.67,28.17,85.99,3303.84,3.1
20240413153003,0,1005.75,27.98,87.5,3198.42,2.59
20240413154003,0.25,1005.86,27.77,88.88,3205.33,2.89
20240413155003,0,1005.88,27.55,90.72,2641.83,2.29
20240413160003,0.03,1006,27.25,93.67,2993.92,2.39
20240413161003,0.3,1006.07,27.04,95.21,1951.67,1.28
20240413162003,0.1,1006.12,26.32,99.82,1507.25,0.71
20240413163003,0,1006.21,25.64,100,1578.58,0.69
20240413164003,0,1006.36,25.35,100,1476.42,0.74
20240413165003,0,1006.39,25.2,100,1623.17,0.87
20240414070003,0,1007.86,29.17,85.6,20077.17,93.94
20240414071003,0,1007.86,30.52,80.97,23919.67,124.89
20240414072003,0,1007.95,31.35,76.22,27813,163.79
20240414073003,0,1008.03,31.83,73.03,32886.92,219.49
20240414074003,0,1008.09,32.67,68.3,37901.83,282.2
20240414075003,0,1008.09,34.08,63.49,43112.78,358.55
20240414080003,0,1008.09,35.04,58.78,48769.88,439.97
20240414081003,0,1008.06,36.12,55.88,52546.91,502.57
20240414082003,0,1008.03,37.92,50.51,57836.55,601.04
20240414083003,0,1008.1,37.66,49.1,58712.53,607.85
20240414084003,0,1008.23,38.08,48.51,64595.5,729.94
20240414085003,0,1008.35,40.44,42.06,70928.05,867.98
