Serial,WindSpeed(m/s),Pressure(hpa),Temperature(°C),Humidity(%),Sunlight(Lux),Power(mW)
20240411070011,0,1013.87,22.03,93.06,4874.84,8.64
20240411071011,0,1013.91,22.81,89.48,6655.5,19.44
20240411072011,0,1013.97,23.06,87.25,6078.83,13.34
20240411073011,0,1014.15,23.4,85.87,7520.83,18.07
20240411074011,0,1014.31,23.95,82.32,7512.92,19.54
20240411075011,0,1014.32,24.45,79.65,8661.58,23.49
20240411080011,0,1014.32,27.62,69.79,30987.92,427.49
20240411081011,0,1014.27,31.34,58.16,34678.83,691.6
20240411082011,0,1014.3,33.92,50.13,36579.5,767.51
20240411083011,0,1014.33,34.56,47.25,22784.41,568.49
20240411084011,0,1014.33,32.02,53.29,13774.58,43.63
20240411085011,0,1014.27,31.33,52.98,41738.32,519.76
20240411090011,0,1014.28,32.29,50.36,26015.98,470.08
20240411091011,0,1014.36,30.64,57.13,11569.08,47.73
20240411092011,0,1014.35,29.98,56.39,15250.33,45.87
20240411093011,0,1014.25,30.86,53.48,12677.42,47.75
20240411094011,0,1014.2,30.17,55.82,46027.65,458.99
20240411095011,0,1014.16,34.94,45.77,49289.18,1308.39
20240411100011,0,1014.08,36.14,41.44,42250.29,654.36
20240411101011,0,1013.92,33.25,47.94,14360.67,45.3
20240411102011,0,1013.83,31.81,51.93,11066,39.53
20240411103011,0,1013.75,30.62,56.13,12176.5,37.2
20240411104011,0,1013.53,30.66,55.52,25101.7,36.1
20240411105011,0,1013.37,31.7,53,48859.77,38.27
20240411110011,0,1013.37,36.56,41.1,59008.66,455.35
20240411111011,0,1013.36,34.08,46.28,11340.58,34.19
20240411112011,0,1013.34,33.14,48.8,45502.7,417.67
20240411113011,0,1013.25,31,54.6,9734.08,27.42
20240411114011,0,1013.09,29.97,58.13,9054.67,25.18
20240411115011,0,1012.96,29.91,58.8,8440.83,21.91
20240411120011,0.22,1012.84,29.4,60.45,7908.75,20
20240411121011,0.68,1012.82,29.17,61.9,8513.08,22.44
20240411122011,0.37,1012.7,28.53,64.51,5447.17,7.58
20240411123011,1.46,1012.53,28.05,65.59,6331.83,9.3
20240411124011,0.4,1012.46,27.97,65.77,5985.67,8.67
20240411125011,0.45,1012.35,27.78,66.58,6172.92,9.86
20240411130011,0,1012.29,28.22,65.33,5857.92,10.93
20240411131011,0,1012.24,27.77,66.53,5278.17,7.26
20240411132011,0,1012.12,27.72,66.7,6335.5,11.24
20240411133011,0,1011.92,27.64,67.15,5767.92,9.74
20240411134011,0,1011.84,27.62,67.05,4850.58,7.77
20240411135011,0,1011.8,27.74,67.15,5652.08,10.57
20240411140011,0,1011.7,27.92,66.76,5145.33,9.17
20240411141011,0,1011.64,28.41,65.37,4902,8.79
20240411142011,0,1011.59,28.45,64.45,5105.08,9.29
20240411143011,0,1011.48,28.6,63.91,5164.75,8.98
