Serial,WindSpeed(m/s),Pressure(hpa),Temperature(°C),Humidity(%),Sunlight(Lux),Power(mW)
20240425070012,0,1008.52,22.58,100,993.67,0.28
20240425071012,0,1008.56,22.67,100,993.25,0.28
20240425072012,0,1008.61,22.8,100,1123.83,0.36
20240425073012,0,1008.71,22.83,100,1326.75,0.51
20240425074012,0,1008.94,22.87,100,1710.83,0.85
20240425075012,0,1009.18,22.94,100,1982.08,1.14
20240425080012,0,1009.35,23.02,100,1615.92,0.72
20240425081012,0,1009.67,23,100,1395.17,0.54
20240425082012,0,1009.99,22.93,100,1381.66,0.55
20240425083012,0,1009.95,23.02,100,1876.92,0.99
20240425084012,0,1009.52,23.13,100,1982.25,0.99
20240425085012,0,1009.39,22.93,100,2907.5,2
20240425090012,0,1009.32,22.64,100,4978.92,6.86
20240425091012,0,1009.19,22.6,100,6354.92,11.66
20240425092012,0,1009.3,22.54,100,6572.42,10.89
20240425093012,0,1009.39,22.32,100,4262.17,4.77
20240425094012,0,1009.41,22.26,100,5055.83,6.43
20240425095012,0,1009.35,22.24,100,6328.75,10.42
20240425100012,0,1009.24,22.43,100,9862.83,25.34
20240425101012,0,1008.98,22.89,100,12356.17,40.68
20240425102012,0,1008.79,23.16,100,16154.75,75.36
20240425103012,0,1008.47,23.45,100,13644.5,55.39
20240425104012,0,1008.09,23.4,100,12223.25,41.2
20240425105012,0,1007.79,23.24,100,7309.5,16.13
20240425110012,0,1007.48,23.33,100,9445.75,25.29
20240425111012,0,1007.3,24.01,100,10784.58,32.68
20240425112012,0,1007.12,24.42,100,9902.92,26.8
20240425113012,0,1006.92,24.4,100,7481,13.94
20240425114012,0,1006.98,24.39,100,8930,19.13
20240425115012,0,1006.98,25.62,99.72,18448.83,150.32
20240425120012,0,1006.88,30.09,81.36,33423.08,714.54
20240425121012,0,1006.98,29.67,78.08,19459.67,103.45
20240425122012,0,1006.83,28.38,83.1,21238.08,133.43
20240425123012,0,1006.8,29.86,77.53,31479.44,574.57
20240425124012,0,1006.56,33.7,64.77,35918.13,729.65
20240425125012,0,1006.31,38.05,55.84,53637.12,1538.43
20240425130012,0,1005.97,41.04,41.76,53446.07,1219.2
20240425131012,0,1005.74,38.88,45.45,57273.35,1292.64
20240425132012,0,1005.58,44.12,37.38,76935.9,1666.9
20240425133012,0,1005.33,46.99,33.13,79776.22,1602.33
20240425134012,0,1005.04,48.37,31.04,66957.13,1156.53
20240425135012,0,1004.84,43.46,37.19,31281.16,280.56
20240425140012,0,1004.62,39.23,45.21,41765.44,486.89
20240425141012,0,1004.6,39.45,45.16,41661.77,504.08
20240425142012,0,1004.6,41.8,40,72461.55,1081.32
20240425143012,0,1004.56,38.62,45.02,24287.98,177.78
20240425144012,0,1004.57,34.71,55.33,10171.42,30.54
20240425145012,0,1004.65,31.77,63.93,2942.25,2.9
20240425150012,0,1004.84,29.89,71.91,1847.17,0.8
20240425151012,0,1005.15,29.23,76.07,2111.42,0.9
20240425152012,0,1005.5,28.84,79.14,1786.58,0.62
20240425153012,0,1005.82,28.01,86.78,1582.17,0.51
20240425154012,0,1005.74,27.13,95.82,982.67,0.24
20240425155012,0,1005.71,26.37,100,769.08,0.16
20240425160012,0,1005.63,25.61,100,1857.67,0.76
20240425161012,0,1005.88,25.37,100,1498.83,0.53
20240425162012,0,1005.75,25.13,100,1208.5,0.35
20240425163012,0,1005.62,25.17,100,1277.92,0.37
20240425164012,0,1005.89,24.98,100,1028.08,0.28
20240425165012,0,1005.72,24.86,100,1378.92,0.52
20240426070012,0,1004.24,22.71,100,3130.83,1.93
20240426071012,0,1004.17,22.86,100,3474.58,2.16
20240426072012,0,1004.22,23.02,100,4252.5,3.22
20240426073012,0,1004.16,23.2,100,4091.08,3.05
20240426074012,0,1004.25,23.47,100,4051.75,3.05
20240426075012,0,1004.02,23.75,100,4515.67,4.16
20240426080012,0,1004.13,24.38,100,7248.08,11.99
20240426081012,0,1004.14,25.07,100,8444.25,18.73
20240426082012,0,1004.29,25.46,100,8507.08,18.41
20240426083012,0,1004.31,25.72,100,9624.58,22.16
20240426084012,0,1004.42,26.26,100,11598.25,34.29
20240426085012,0,1004.4,26.22,100,10081.25,28.53
