Serial,WindSpeed(m/s),Pressure(hpa),Temperature(°C),Humidity(%),Sunlight(Lux),Power(mW)
20240622070001,0,1002.01,44.78,44.21,23495.08,120.4
20240622071001,0,1002.06,44.5,43.47,27306.17,154.18
20240622072001,0,1002.12,44.83,42.99,31026,195.35
20240622073001,0,1002.11,45.68,41.39,33555.91,227.6
20240622074001,0,1002.16,46.31,40.43,36705.41,267.99
20240622075001,0,1002.21,47.52,38.34,40457.68,313.48
20240622080001,0,1002.23,47.81,37.13,42997.42,357.13
20240622081001,0,1002.23,47.96,36.77,45771.44,425.28
20240622082001,0,1002.23,48.75,35.38,48281.13,486.87
20240622083001,0,1002.25,49.56,33.53,50072.26,513.98
20240622084001,0,1002.23,49.16,32.62,48839.96,504.53
20240622085001,0,1002.2,48.26,33.57,52655.98,607.96
20240622090001,0,1002.16,49.32,32.75,55709.77,639.12
20240622091001,0,1002.17,50.21,31.45,61094.82,770.32
20240622092001,0,1002.18,50.64,30.86,60577.68,737.48
20240622093001,0,1002.09,51.28,30.26,64921.69,834.06
20240622094001,0,1002.06,52.12,29.21,66212.33,854.39
20240622095001,0,1002.06,52.79,28.54,72966.47,994.87
20240622100001,0,1002.02,54.16,27.07,75652.03,1015.12
20240622101001,0,1001.96,54.88,25.97,78115.01,1074.39
20240622102001,0,1001.95,54.54,26.22,84505.43,1173.07
20240622103001,0,1001.98,54.17,25.86,84802.44,1108.64
20240622104001,0,1001.98,52.68,27.46,78094.89,988.41
20240622105001,0,1001.89,50.65,30.74,46396.41,481.01
20240622110001,0,1001.77,47.02,36.26,87545.91,1130.76
20240622111001,0,1001.73,47.34,36.14,83620.27,1047.02
20240622112001,0,1001.65,46.78,37.55,83025.69,1016.72
20240622113001,0,1001.57,45.77,39.37,89068.58,1186.35
20240622114001,0,1001.36,46.19,39,89646.09,1233.18
20240622115001,0,1001.19,46.13,39.18,88436.62,1242.9
20240622120001,0,1001.07,46.2,39.19,88318.02,1268.86
20240622121001,0,1000.96,46.68,38.64,87345.02,1258.82
20240622122001,0,1000.97,46.93,38.35,81092.61,1129.35
20240622123001,0,1000.82,46.38,39.19,75570.27,995.28
20240622124001,0,1000.72,46.23,39.56,69881.19,839.2
20240622125001,0,1000.59,45.97,40.01,67729.43,814.43
20240622130001,0,1000.38,46.33,40,70033.74,922.09
20240622131001,0,1000.31,46.77,39.28,65742.08,869.5
20240622132001,0,1000.25,47.07,38.91,63016.76,843.68
20240622133001,0,1000.18,46.3,39.58,39016.57,337.7
20240622134001,0,1000.06,43.81,43.68,40331.73,392.1
20240622135001,0,999.96,42.8,46.22,44810.88,423.49
20240622140001,0,999.9,42.05,47.73,25098.83,118.46
20240622141001,0,999.78,41.25,50.05,33152.65,236.36
20240622142001,0,999.71,41.97,49.36,43904.61,412.96
20240622143001,0,999.59,43.36,46.63,32623.03,237.35
20240622144001,0,999.45,42,48.87,22680.84,102.08
20240622145001,0,999.42,40.35,52.38,22289.97,105.76
20240622150001,0,999.38,38.69,56.44,21746.5,103.4
20240622151001,0,999.34,38.75,57.46,23360.58,107.73
20240622152001,0,999.3,39.09,57.25,19945.08,86.05
20240622153001,0,999.33,39.13,57.26,20885.67,87.99
20240622154001,0,999.23,38.94,57.69,14325.17,38.57
20240622155001,0,999.25,38.16,60.01,14984.17,39.65
20240622160001,0,999.25,38.2,60.02,11514.25,24.94
20240622161001,0,999.33,37.51,62.14,11627.42,24.16
20240622162001,0,999.32,38.1,61.46,12546.17,29.29
20240622163001,0,999.35,38.45,60.4,12383.75,29.59
20240622164001,0,999.44,38.76,59.71,12002.25,24.26
20240622165001,0,999.47,38.78,59.38,9256.83,15.95
20240623070001,0,1002.74,46.15,45.63,29484.75,223.57
20240623071001,0,1002.75,46.83,42.91,25342,161.53
20240623072001,0,1002.73,46.62,43.06,31336.42,224.32
20240623073001,0,1002.74,47.79,40.51,34154.91,264.11
20240623074001,0,1002.73,48.11,39.37,37332.25,311.37
20240623075001,0,1002.74,48.81,37.88,41786.29,379.85
20240623080001,0,1002.79,49.4,36.65,43076.49,407.64
20240623081001,0,1002.78,50.41,35.21,47395.99,503.36
20240623082001,0,1002.75,52.16,32.62,48507.9,541.88
20240623083001,0,1002.72,52.98,31.24,52015.04,611.89
20240623084001,0,1002.69,53.5,30.38,53794.84,669.37
20240623085001,0,1002.67,53.86,29.34,48511.38,628.66
