Serial,WindSpeed(m/s),Pressure(hpa),Temperature(°C),Humidity(%),Sunlight(Lux),Power(mW)
20240612070017,0,1006.36,30,99.9,8109.33,14.54
20240612071017,0,1006.43,30.47,98.74,9315.5,18.81
20240612072017,0,1006.63,30.87,96.78,10478.42,23.34
20240612073017,0,1006.74,31.35,94.79,12120.83,30.44
20240612074017,0,1006.86,32.34,92.69,14390.58,54.07
20240612075017,0,1006.81,33.86,87.66,13267.75,37.69
20240612080017,0,1006.72,34.44,82.93,14885.33,47.66
20240612081017,0,1006.59,34.62,80.35,14155.92,43.05
20240612082017,0,1006.56,34.98,78.93,14453.17,43.63
20240612083017,0,1006.6,35.33,76.88,15991.25,53.33
20240612084017,0,1006.6,36.07,73.86,20777.58,91.86
20240612085017,0,1006.45,37.42,68.37,21907.75,100.7
20240612090017,0,1006.34,38.58,62.79,23671.92,117.19
20240612091017,0,1006.3,38.96,61.71,23626.42,115.81
20240612092017,0,1006.2,39.22,61.04,22115.5,100.75
20240612093017,0,1006.09,38.2,63.15,19551.17,80.69
20240612094017,0,1006.24,38.24,66.86,28633.67,180.47
20240612095017,0,1006.61,41.96,59.28,60498.48,692.73
20240612100017,0,1006.26,50.12,45.09,88812.34,1054.97
20240612101017,0,1005.99,55.76,37.55,99064.95,908.56
20240612102017,0,1004.91,55.55,32.81,39251.93,289.7
20240612103017,0,1005.29,48.6,38.34,37632,324.6
20240612104017,0,1005.22,46.82,40.9,30828.02,207.25
20240612105017,0,1005.77,46.81,42.79,60469.99,698.42
20240612110017,0,1005.14,48.58,39.25,32742.68,241.59
20240612111017,0,1005.41,45.5,42.59,34450.97,283.14
20240612112017,0,1005.15,43.98,44.62,28851.92,177.51
20240612113017,0,1005.29,41.08,48.63,28760.08,178.6
20240612114017,0,1005.18,39.49,52.97,26724.42,151.82
20240612115017,0,1005.14,39.62,54.41,25945.58,142.66
20240612120017,0,1005.16,39.32,55.87,27453.42,160.66
20240612121017,0,1005.02,40.23,53.24,25751.39,140.18
20240612122017,0,1005.09,40.79,52.93,38894.21,378.5
20240612123017,0,1004.79,43.57,48.91,38486.05,341.6
20240612124017,0,1004.86,45.69,45.33,51302.56,568.9
20240612125017,0,1004.5,47.39,41.71,31828.17,255.54
20240612130017,0,1004.48,43.34,45.45,25623.86,168.28
